record_time,uplink_length,downlink_length
2019-06-12 09:30:00,413,413
2019-06-12 09:35:00,225,225
2019-06-12 09:40:00,55,55
2019-06-12 09:45:00,200,200
2019-06-12 09:50:00,159,159
2019-06-12 09:55:00,44,44
2019-06-12 10:00:00,35,35
2019-06-12 10:05:00,164,164
2019-06-12 10:10:00,43,43
2019-06-12 10:15:00,53,53
2019-06-12 10:20:00,276,276
2019-06-12 10:25:00,66,66
2019-06-12 10:30:00,118,118
2019-06-12 10:35:00,27,27
2019-06-12 10:40:00,48,48
2019-06-12 10:45:00,300,300
2019-06-12 10:50:00,48,48
2019-06-12 10:55:00,35,35
2019-06-12 11:00:00,64,64
2019-06-12 11:05:00,35,35
2019-06-12 11:10:00,22,22
2019-06-12 11:15:00,30,30
2019-06-12 11:20:00,35,35
2019-06-12 11:25:00,15,15
2019-06-12 11:30:00,36,36
2019-06-12 11:35:00,33,33
2019-06-12 11:40:00,70,70
2019-06-12 11:45:00,41,41
2019-06-12 11:50:00,37,37
2019-06-12 11:55:00,66,66
2019-06-12 12:00:00,38,38
2019-06-12 12:05:00,50,50
2019-06-12 12:10:00,39,39
2019-06-12 12:15:00,83,83
2019-06-12 12:20:00,17,17
2019-06-12 12:25:00,19,19
2019-06-12 12:30:00,26,26
2019-06-12 12:35:00,23,23
2019-06-12 12:40:00,51,51
2019-06-12 12:45:00,16,16
2019-06-12 12:50:00,30,30
2019-06-12 12:55:00,0,0
2019-06-12 13:00:00,0,0
2019-06-12 13:05:00,0,0
2019-06-12 13:10:00,0,0
2019-06-12 13:15:00,0,0
2019-06-12 13:20:00,0,0
2019-06-12 13:25:00,186,186
2019-06-12 13:30:00,20,20
2019-06-12 13:35:00,38,38
2019-06-12 13:40:00,9,9
2019-06-12 13:45:00,44,44
2019-06-12 13:50:00,61,61
2019-06-12 13:55:00,40,40
2019-06-12 14:00:00,82,82
2019-06-12 14:05:00,27,27
2019-06-12 14:10:00,70,70
2019-06-12 14:15:00,54,54
2019-06-12 14:20:00,40,40
2019-06-12 14:25:00,165,165
2019-06-12 14:30:00,68,68
2019-06-12 14:35:00,79,79
2019-06-12 14:40:00,133,133
2019-06-12 14:45:00,79,79
2019-06-12 14:50:00,73,73
2019-06-12 14:55:00,85,85
2019-06-12 15:00:00,116,116
2019-06-12 15:05:00,102,102
2019-06-12 15:10:00,59,59
2019-06-12 15:15:00,125,125
2019-06-12 15:20:00,19,19
2019-06-12 15:25:00,36,36
2019-06-12 15:30:00,26,26
2019-06-12 15:35:00,21,21
2019-06-12 15:40:00,24,24
2019-06-12 15:45:00,59,59
2019-06-12 15:50:00,12,12
2019-06-12 15:55:00,203,203
2019-06-12 16:00:00,17,17
2019-06-12 16:05:00,23,23
2019-06-12 16:10:00,26,26
2019-06-12 16:15:00,14,14
2019-06-12 16:20:00,9,9
2019-06-12 16:25:00,28,28
2019-06-12 16:30:00,30,30
2019-06-12 16:35:00,23,23
2019-06-12 16:40:00,22,22
2019-06-12 16:45:00,87,87
2019-06-12 16:50:00,21,21
2019-06-12 16:55:00,32,32
2019-06-12 17:00:00,11,11
2019-06-12 17:05:00,23,23
2019-06-12 17:10:00,83,83
2019-06-12 17:15:00,119,119
2019-06-12 17:20:00,19,19
2019-06-12 17:25:00,27,27
2019-06-12 17:30:00,65,65
2019-06-12 17:35:00,49,49
2019-06-12 17:40:00,14,14
2019-06-12 17:45:00,71,71
2019-06-12 17:50:00,7,7
2019-06-12 17:55:00,56,56
2019-06-12 18:00:00,28,28
2019-06-12 18:05:00,27,27
2019-06-12 18:10:00,8,8
2019-06-12 18:15:00,12,12
2019-06-12 18:20:00,38,38
2019-06-12 18:25:00,14,14
2019-06-12 18:30:00,15,15
2019-06-12 18:35:00,35,35
2019-06-12 18:40:00,16,16
2019-06-12 18:45:00,146,146
2019-06-12 18:50:00,6,6
2019-06-12 18:55:00,18,18
2019-06-12 19:00:00,249,249
2019-06-12 19:05:00,501,501
2019-06-12 19:10:00,163,163
2019-06-12 19:15:00,32,32
2019-06-12 19:20:00,5,5
