record_time,uplink_length,downlink_length
2019-06-01 09:20:00,408,408
2019-06-01 09:25:00,617,617
2019-06-01 09:30:00,162,162
2019-06-01 09:35:00,90,90
2019-06-01 09:40:00,59,59
2019-06-01 09:45:00,67,67
2019-06-01 09:50:00,26,26
2019-06-01 09:55:00,130,130
2019-06-01 10:00:00,16,16
2019-06-01 10:05:00,93,93
2019-06-01 10:10:00,13,13
2019-06-01 10:15:00,8,8
2019-06-01 10:20:00,65,65
2019-06-01 10:25:00,103,103
2019-06-01 10:30:00,180,180
2019-06-01 10:35:00,279,279
2019-06-01 10:40:00,24,24
2019-06-01 10:45:00,73,73
2019-06-01 10:50:00,21,21
2019-06-01 10:55:00,88,88
2019-06-01 11:00:00,180,180
2019-06-01 11:05:00,157,157
2019-06-01 11:10:00,66,66
2019-06-01 11:15:00,164,164
2019-06-01 11:20:00,68,68
2019-06-01 11:25:00,38,38
2019-06-01 11:30:00,17,17
2019-06-01 11:35:00,18,18
2019-06-01 11:40:00,16,16
2019-06-01 11:45:00,19,19
2019-06-01 11:50:00,25,25
2019-06-01 11:55:00,46,46
2019-06-01 12:00:00,75,75
2019-06-01 12:05:00,881,881
2019-06-01 12:10:00,148,148
2019-06-01 12:15:00,32,32
2019-06-01 12:20:00,22,22
2019-06-01 12:25:00,56,56
2019-06-01 12:30:00,66,66
2019-06-01 12:35:00,21,21
2019-06-01 12:40:00,59,59
2019-06-01 12:45:00,321,321
2019-06-01 12:50:00,56,56
2019-06-01 12:55:00,52,52
2019-06-01 13:00:00,64,64
2019-06-01 13:05:00,169,169
2019-06-01 13:10:00,89,89
2019-06-01 13:15:00,394,394
2019-06-01 13:20:00,33,33
2019-06-01 13:25:00,90,90
2019-06-01 13:30:00,55,55
2019-06-01 13:35:00,32,32
2019-06-01 13:40:00,87,87
2019-06-01 13:45:00,82,82
2019-06-01 13:50:00,116,116
2019-06-01 13:55:00,62,62
2019-06-01 14:00:00,15,15
2019-06-01 14:05:00,10,10
2019-06-01 14:10:00,29,29
2019-06-01 14:15:00,17,17
2019-06-01 14:20:00,52,52
2019-06-01 14:25:00,47,47
2019-06-01 14:30:00,43,43
2019-06-01 14:35:00,14,14
2019-06-01 14:40:00,38,38
2019-06-01 14:45:00,70,70
2019-06-01 14:50:00,42,42
2019-06-01 14:55:00,19,19
2019-06-01 15:00:00,175,175
2019-06-01 15:05:00,185,185
2019-06-01 15:10:00,136,136
2019-06-01 15:15:00,60,60
2019-06-01 15:20:00,86,86
2019-06-01 15:25:00,81,81
2019-06-01 15:30:00,16,16
2019-06-01 15:35:00,16,16
2019-06-01 15:40:00,23,23
2019-06-01 15:45:00,76,76
2019-06-01 15:50:00,87,87
2019-06-01 15:55:00,97,97
2019-06-01 16:00:00,176,176
2019-06-01 16:05:00,100,100
2019-06-01 16:10:00,45,45
2019-06-01 16:15:00,20,20
2019-06-01 16:20:00,76,76
2019-06-01 16:25:00,231,231
2019-06-01 16:30:00,29,29
2019-06-01 16:35:00,19,19
2019-06-01 16:40:00,41,41
2019-06-01 16:45:00,154,154
2019-06-01 16:50:00,95,95
2019-06-01 16:55:00,93,93
2019-06-01 17:00:00,61,61
2019-06-01 17:05:00,33,33
2019-06-01 17:10:00,43,43
2019-06-01 17:15:00,54,54
2019-06-01 17:20:00,56,56
2019-06-01 17:25:00,76,76
2019-06-01 17:30:00,92,92
2019-06-01 17:35:00,366,366
2019-06-01 17:40:00,393,393
2019-06-01 17:45:00,108,108
2019-06-01 17:50:00,311,311
2019-06-01 17:55:00,66,66
2019-06-01 18:00:00,76,76
2019-06-01 18:05:00,164,164
2019-06-01 18:10:00,207,207
