record_time,uplink_length,downlink_length
2019-06-11 09:55:00,247,247
2019-06-11 10:00:00,77,77
2019-06-11 10:05:00,212,212
2019-06-11 10:10:00,462,462
2019-06-11 10:15:00,22,22
2019-06-11 10:20:00,98,98
2019-06-11 10:25:00,25,25
2019-06-11 10:30:00,144,144
2019-06-11 10:35:00,55,55
2019-06-11 10:40:00,97,97
2019-06-11 10:45:00,52,52
2019-06-11 10:50:00,36,36
2019-06-11 10:55:00,271,271
2019-06-11 11:00:00,28,28
2019-06-11 11:05:00,60,60
2019-06-11 11:10:00,28,28
2019-06-11 11:15:00,19,19
2019-06-11 11:20:00,19,19
2019-06-11 11:25:00,28,28
2019-06-11 11:30:00,20,20
2019-06-11 11:35:00,33,33
2019-06-11 11:40:00,25,25
2019-06-11 11:45:00,18,18
2019-06-11 11:50:00,28,28
2019-06-11 11:55:00,29,29
2019-06-11 12:00:00,23,23
2019-06-11 12:05:00,69,69
2019-06-11 12:10:00,22,22
2019-06-11 12:15:00,42,42
2019-06-11 12:20:00,53,53
2019-06-11 12:25:00,34,34
2019-06-11 12:30:00,129,129
2019-06-11 12:35:00,49,49
2019-06-11 12:40:00,0,0
2019-06-11 12:45:00,0,0
2019-06-11 12:50:00,0,0
2019-06-11 12:55:00,0,0
2019-06-11 13:00:00,0,0
2019-06-11 13:05:00,0,0
2019-06-11 13:10:00,0,0
2019-06-11 13:15:00,0,0
2019-06-11 13:20:00,0,0
2019-06-11 13:25:00,0,0
2019-06-11 13:30:00,0,0
2019-06-11 13:35:00,0,0
2019-06-11 13:40:00,0,0
2019-06-11 13:45:00,0,0
2019-06-11 13:50:00,0,0
2019-06-11 13:55:00,0,0
2019-06-11 14:00:00,0,0
2019-06-11 14:05:00,0,0
2019-06-11 14:10:00,22,22
2019-06-11 14:15:00,126,126
2019-06-11 14:20:00,62,62
2019-06-11 14:25:00,25,25
2019-06-11 14:30:00,30,30
2019-06-11 14:35:00,151,151
2019-06-11 14:40:00,149,149
2019-06-11 14:45:00,868,868
2019-06-11 14:50:00,461,461
2019-06-11 14:55:00,29,29
2019-06-11 15:00:00,76,76
2019-06-11 15:05:00,46,46
2019-06-11 15:10:00,47,47
2019-06-11 15:15:00,313,313
2019-06-11 15:20:00,302,302
2019-06-11 15:25:00,250,250
2019-06-11 15:30:00,24,24
2019-06-11 15:35:00,20,20
2019-06-11 15:40:00,34,34
2019-06-11 15:45:00,51,51
2019-06-11 15:50:00,23,23
2019-06-11 15:55:00,37,37
2019-06-11 16:00:00,152,152
2019-06-11 16:05:00,25,25
2019-06-11 16:10:00,156,156
2019-06-11 16:15:00,34,34
2019-06-11 16:20:00,88,88
2019-06-11 16:25:00,39,39
2019-06-11 16:30:00,42,42
2019-06-11 16:35:00,29,29
2019-06-11 16:40:00,49,49
2019-06-11 16:45:00,51,51
2019-06-11 16:50:00,864,864
2019-06-11 16:55:00,66,66
2019-06-11 17:00:00,64,64
2019-06-11 17:05:00,22,22
2019-06-11 17:10:00,30,30
2019-06-11 17:15:00,46,46
2019-06-11 17:20:00,90,90
2019-06-11 17:25:00,21,21
2019-06-11 17:30:00,21,21
2019-06-11 17:35:00,23,23
2019-06-11 17:40:00,37,37
2019-06-11 17:45:00,54,54
2019-06-11 17:50:00,58,58
2019-06-11 17:55:00,61,61
2019-06-11 18:00:00,39,39
2019-06-11 18:05:00,53,53
2019-06-11 18:10:00,24,24
2019-06-11 18:15:00,41,41
2019-06-11 18:20:00,91,91
2019-06-11 18:25:00,37,37
2019-06-11 18:30:00,23,23
2019-06-11 18:35:00,35,35
2019-06-11 18:40:00,59,59
2019-06-11 18:45:00,34,34
2019-06-11 18:50:00,18,18
2019-06-11 18:55:00,248,248
2019-06-11 19:00:00,170,170
2019-06-11 19:05:00,438,438
2019-06-11 19:10:00,877,877
2019-06-11 19:15:00,137,137
2019-06-11 19:20:00,100,100
2019-06-11 19:25:00,23,23
2019-06-11 19:30:00,25,25
2019-06-11 19:35:00,19,19
2019-06-11 19:40:00,111,111
2019-06-11 19:45:00,4,4
2019-06-11 19:50:00,0,0
2019-06-11 19:55:00,0,0
2019-06-11 20:00:00,0,0
2019-06-11 20:05:00,0,0
2019-06-11 20:10:00,124,124
2019-06-11 20:15:00,261,261
2019-06-11 20:20:00,22,22
2019-06-11 20:25:00,94,94
2019-06-11 20:30:00,120,120
2019-06-11 20:35:00,229,229
2019-06-11 20:40:00,44,44
2019-06-11 20:45:00,33,33
2019-06-11 20:50:00,24,24
2019-06-11 20:55:00,774,774
2019-06-11 21:00:00,245,245
2019-06-11 21:05:00,143,143
2019-06-11 21:10:00,25,25
2019-06-11 21:15:00,39,39
2019-06-11 21:20:00,25,25
2019-06-11 21:25:00,156,156
2019-06-11 21:30:00,126,126
2019-06-11 21:35:00,31,31
2019-06-11 21:40:00,24,24
2019-06-11 21:45:00,102,102
2019-06-11 21:50:00,44,44
2019-06-11 21:55:00,2,2
