record_time,uplink_length,downlink_length
2019-06-13 09:20:00,33,33
2019-06-13 09:25:00,185,185
2019-06-13 09:30:00,649,649
2019-06-13 09:35:00,214,214
2019-06-13 09:40:00,27,27
2019-06-13 09:45:00,24,24
2019-06-13 09:50:00,67,67
2019-06-13 09:55:00,114,114
2019-06-13 10:00:00,169,169
2019-06-13 10:05:00,7,7
2019-06-13 10:10:00,15,15
2019-06-13 10:15:00,9,9
2019-06-13 10:20:00,17,17
2019-06-13 10:25:00,28,28
2019-06-13 10:30:00,43,43
2019-06-13 10:35:00,13,13
2019-06-13 10:40:00,228,228
2019-06-13 10:45:00,7,7
2019-06-13 10:50:00,18,18
2019-06-13 10:55:00,94,94
2019-06-13 11:00:00,76,76
2019-06-13 11:05:00,9,9
2019-06-13 11:10:00,25,25
2019-06-13 11:15:00,11,11
2019-06-13 11:20:00,19,19
2019-06-13 11:25:00,13,13
2019-06-13 11:30:00,87,87
2019-06-13 11:35:00,19,19
2019-06-13 11:40:00,384,384
2019-06-13 11:45:00,275,275
2019-06-13 11:50:00,180,180
2019-06-13 11:55:00,6,6
2019-06-13 12:00:00,11,11
2019-06-13 12:05:00,9,9
2019-06-13 12:10:00,5,5
2019-06-13 12:15:00,84,84
2019-06-13 12:20:00,379,379
2019-06-13 12:25:00,658,658
2019-06-13 12:30:00,649,649
2019-06-13 12:35:00,798,798
2019-06-13 12:40:00,1355,1355
2019-06-13 12:45:00,28,28
2019-06-13 12:50:00,31,31
2019-06-13 12:55:00,22,22
2019-06-13 13:00:00,25,25
2019-06-13 13:05:00,18,18
2019-06-13 13:10:00,20,20
2019-06-13 13:15:00,10,10
2019-06-13 13:20:00,42,42
2019-06-13 13:25:00,285,285
2019-06-13 13:30:00,92,92
2019-06-13 13:35:00,24,24
2019-06-13 13:40:00,19,19
2019-06-13 13:45:00,21,21
2019-06-13 13:50:00,93,93
2019-06-13 13:55:00,278,278
2019-06-13 14:00:00,25,25
2019-06-13 14:05:00,13,13
2019-06-13 14:10:00,41,41
2019-06-13 14:15:00,16,16
2019-06-13 14:20:00,26,26
2019-06-13 14:25:00,8,8
2019-06-13 14:30:00,57,57
2019-06-13 14:35:00,29,29
2019-06-13 14:40:00,16,16
2019-06-13 14:45:00,164,164
2019-06-13 14:50:00,15,15
2019-06-13 14:55:00,10,10
2019-06-13 15:00:00,28,28
2019-06-13 15:05:00,9,9
2019-06-13 15:10:00,7,7
2019-06-13 15:15:00,25,25
2019-06-13 15:20:00,52,52
2019-06-13 15:25:00,23,23
2019-06-13 15:30:00,49,49
2019-06-13 15:35:00,9,9
2019-06-13 15:40:00,29,29
2019-06-13 15:45:00,20,20
2019-06-13 15:50:00,20,20
2019-06-13 15:55:00,13,13
2019-06-13 16:00:00,178,178
2019-06-13 16:05:00,76,76
2019-06-13 16:10:00,36,36
2019-06-13 16:15:00,12,12
2019-06-13 16:20:00,38,38
2019-06-13 16:25:00,23,23
2019-06-13 16:30:00,61,61
2019-06-13 16:35:00,17,17
2019-06-13 16:40:00,14,14
2019-06-13 16:45:00,8,8
2019-06-13 16:50:00,18,18
2019-06-13 16:55:00,186,186
2019-06-13 17:00:00,337,337
2019-06-13 17:05:00,205,205
2019-06-13 17:10:00,11,11
2019-06-13 17:15:00,6,6
2019-06-13 17:20:00,43,43
2019-06-13 17:25:00,23,23
2019-06-13 17:30:00,56,56
2019-06-13 17:35:00,13,13
2019-06-13 17:40:00,20,20
2019-06-13 17:45:00,15,15
2019-06-13 17:50:00,26,26
2019-06-13 17:55:00,14,14
2019-06-13 18:00:00,20,20
2019-06-13 18:05:00,12,12
2019-06-13 18:10:00,78,78
2019-06-13 18:15:00,13,13
2019-06-13 18:20:00,27,27
2019-06-13 18:25:00,19,19
2019-06-13 18:30:00,18,18
