record_time,uplink_length,downlink_length
2019-06-04 09:05:00,259,259
2019-06-04 09:10:00,328,328
2019-06-04 09:15:00,869,869
2019-06-04 09:20:00,230,230
2019-06-04 09:25:00,334,334
2019-06-04 09:30:00,164,164
2019-06-04 09:35:00,39,39
2019-06-04 09:40:00,135,135
2019-06-04 09:45:00,210,210
2019-06-04 09:50:00,112,112
2019-06-04 09:55:00,39,39
2019-06-04 10:00:00,130,130
2019-06-04 10:05:00,354,354
2019-06-04 10:10:00,57,57
2019-06-04 10:15:00,147,147
2019-06-04 10:20:00,76,76
2019-06-04 10:25:00,77,77
2019-06-04 10:30:00,364,364
2019-06-04 10:35:00,429,429
2019-06-04 10:40:00,299,299
2019-06-04 10:45:00,43,43
2019-06-04 10:50:00,24,24
2019-06-04 10:55:00,53,53
2019-06-04 11:00:00,18,18
2019-06-04 11:05:00,114,114
2019-06-04 11:10:00,436,436
2019-06-04 11:15:00,183,183
2019-06-04 11:20:00,137,137
2019-06-04 11:25:00,32,32
2019-06-04 11:30:00,56,56
2019-06-04 11:35:00,24,24
2019-06-04 11:40:00,15,15
2019-06-04 11:45:00,72,72
2019-06-04 11:50:00,443,443
2019-06-04 11:55:00,7,7
2019-06-04 12:00:00,20,20
2019-06-04 12:05:00,24,24
2019-06-04 12:10:00,16,16
2019-06-04 12:15:00,312,312
2019-06-04 12:20:00,516,516
2019-06-04 12:25:00,767,767
2019-06-04 12:30:00,601,601
2019-06-04 12:35:00,595,595
2019-06-04 12:40:00,1166,1166
2019-06-04 12:45:00,346,346
2019-06-04 12:50:00,491,491
2019-06-04 12:55:00,211,211
2019-06-04 13:00:00,265,265
2019-06-04 13:05:00,287,287
2019-06-04 13:10:00,499,499
2019-06-04 13:15:00,538,538
2019-06-04 13:20:00,295,295
2019-06-04 13:25:00,27,27
2019-06-04 13:30:00,50,50
2019-06-04 13:35:00,60,60
2019-06-04 13:40:00,32,32
2019-06-04 13:45:00,27,27
2019-06-04 13:50:00,41,41
2019-06-04 13:55:00,27,27
2019-06-04 14:00:00,15,15
2019-06-04 14:05:00,114,114
2019-06-04 14:10:00,12,12
2019-06-04 14:15:00,99,99
2019-06-04 14:20:00,96,96
2019-06-04 14:25:00,9,9
2019-06-04 14:30:00,18,18
2019-06-04 14:35:00,67,67
2019-06-04 14:40:00,493,493
2019-06-04 14:45:00,463,463
2019-06-04 14:50:00,327,327
2019-06-04 14:55:00,171,171
2019-06-04 15:00:00,322,322
2019-06-04 15:05:00,371,371
2019-06-04 15:10:00,333,333
2019-06-04 15:15:00,287,287
2019-06-04 15:20:00,281,281
2019-06-04 15:25:00,236,236
2019-06-04 15:30:00,843,843
2019-06-04 15:35:00,196,196
2019-06-04 15:40:00,225,225
2019-06-04 15:45:00,262,262
2019-06-04 15:50:00,150,150
2019-06-04 15:55:00,132,132
2019-06-04 16:00:00,339,339
2019-06-04 16:05:00,556,556
2019-06-04 16:10:00,382,382
2019-06-04 16:15:00,223,223
2019-06-04 16:20:00,425,425
2019-06-04 16:25:00,47,47
2019-06-04 16:30:00,344,344
2019-06-04 16:35:00,464,464
2019-06-04 16:40:00,338,338
2019-06-04 16:45:00,167,167
2019-06-04 16:50:00,96,96
2019-06-04 16:55:00,464,464
2019-06-04 17:00:00,59,59
2019-06-04 17:05:00,58,58
2019-06-04 17:10:00,18,18
2019-06-04 17:15:00,63,63
2019-06-04 17:20:00,22,22
2019-06-04 17:25:00,17,17
2019-06-04 17:30:00,12,12
2019-06-04 17:35:00,131,131
2019-06-04 17:40:00,79,79
2019-06-04 17:45:00,12,12
2019-06-04 17:50:00,15,15
2019-06-04 17:55:00,234,234
2019-06-04 18:00:00,369,369
2019-06-04 18:05:00,236,236
2019-06-04 18:10:00,349,349
2019-06-04 18:15:00,268,268
2019-06-04 18:20:00,141,141
