time,value
1:20:00,1627
6:20:00,1
6:30:00,3
6:40:00,6
6:50:00,1
7:10:00,1
7:20:00,1
7:30:00,2
7:40:00,4
7:50:00,4
8:00:00,7
8:10:00,13
8:20:00,10
8:30:00,14
8:40:00,48
8:50:00,39
9:00:00,20
9:10:00,17
9:20:00,3
9:30:00,18
9:40:00,11
9:50:00,2
10:00:00,13
10:10:00,6
10:20:00,10
10:30:00,7
10:40:00,11
10:50:00,3
11:00:00,1
11:20:00,2
11:50:00,3
12:00:00,1
12:10:00,1
12:20:00,1
12:30:00,3
12:40:00,6
12:50:00,2
13:00:00,4
13:10:00,5
13:40:00,3
13:50:00,3
14:00:00,3
14:10:00,7
14:30:00,1
14:40:00,1
14:50:00,4
15:00:00,3
15:10:00,1
15:30:00,3
15:40:00,4
15:50:00,1
16:00:00,2
16:20:00,1
16:30:00,1
16:40:00,2
16:50:00,2
17:10:00,2
17:20:00,8
17:30:00,3
17:40:00,1
17:50:00,5
18:00:00,9
18:10:00,3
18:20:00,1
18:40:00,1
19:00:00,1
21:20:00,1
