time,value
0:10:00,1
2:20:00,6667
7:10:00,1
7:50:00,1
8:10:00,1
8:50:00,1
9:00:00,2
9:10:00,7
9:20:00,9
9:30:00,7
9:40:00,16
9:50:00,19
10:00:00,15
10:10:00,11
10:20:00,21
10:30:00,5
10:40:00,6
10:50:00,4
11:00:00,7
11:10:00,6
11:20:00,15
11:30:00,9
11:40:00,2
11:50:00,6
12:00:00,2
12:10:00,1
12:20:00,4
12:30:00,1
12:40:00,1
12:50:00,4
13:10:00,1
13:20:00,2
13:30:00,2
13:40:00,10
13:50:00,9
14:00:00,2
14:10:00,1
14:30:00,4
14:40:00,3
14:50:00,1
15:00:00,1
15:10:00,1
15:20:00,4
15:30:00,1
15:40:00,2
16:00:00,4
16:20:00,1
16:40:00,2
16:50:00,2
17:00:00,3
17:20:00,3
17:30:00,1
17:40:00,1
17:50:00,1
18:10:00,1
18:20:00,3
18:40:00,6
19:00:00,4
19:10:00,1
19:20:00,2
19:30:00,2
19:40:00,1
20:00:00,4
20:10:00,6
20:20:00,3
20:30:00,4
20:50:00,8
21:00:00,1
21:30:00,1
