record_time,uplink_length,downlink_length
2019-06-10 08:05:00,66,66
2019-06-10 08:10:00,20,20
2019-06-10 08:15:00,13,13
2019-06-10 08:20:00,28,28
2019-06-10 08:25:00,31,31
2019-06-10 08:30:00,13,13
2019-06-10 08:35:00,62,62
2019-06-10 08:40:00,10,10
2019-06-10 08:45:00,3,3
2019-06-10 08:50:00,109,109
2019-06-10 08:55:00,128,128
2019-06-10 09:00:00,59,59
2019-06-10 09:05:00,4,4
2019-06-10 09:10:00,16,16
2019-06-10 09:15:00,8,8
2019-06-10 09:20:00,9,9
2019-06-10 09:25:00,8,8
2019-06-10 09:30:00,26,26
2019-06-10 09:35:00,47,47
2019-06-10 09:40:00,4,4
2019-06-10 09:45:00,63,63
2019-06-10 09:50:00,23,23
2019-06-10 09:55:00,30,30
2019-06-10 10:00:00,13,13
2019-06-10 10:05:00,43,43
2019-06-10 10:10:00,80,80
2019-06-10 10:15:00,19,19
2019-06-10 10:20:00,17,17
2019-06-10 10:25:00,48,48
2019-06-10 10:30:00,8,8
2019-06-10 10:35:00,5,5
2019-06-10 10:40:00,7,7
2019-06-10 10:45:00,9,9
2019-06-10 10:50:00,22,22
2019-06-10 10:55:00,14,14
2019-06-10 11:00:00,4,4
2019-06-10 11:05:00,13,13
2019-06-10 11:10:00,5,5
2019-06-10 11:15:00,5,5
2019-06-10 11:20:00,64,64
2019-06-10 11:25:00,101,101
2019-06-10 11:30:00,55,55
2019-06-10 11:35:00,55,55
2019-06-10 11:40:00,6,6
2019-06-10 11:45:00,4,4
2019-06-10 11:50:00,8,8
2019-06-10 11:55:00,2,2
2019-06-10 12:00:00,5,5
2019-06-10 12:05:00,2,2
2019-06-10 12:10:00,6,6
2019-06-10 12:15:00,2,2
2019-06-10 12:20:00,5,5
2019-06-10 12:25:00,7,7
2019-06-10 12:30:00,8,8
2019-06-10 12:35:00,14,14
2019-06-10 12:40:00,7,7
2019-06-10 12:45:00,467,467
2019-06-10 12:50:00,112,112
2019-06-10 12:55:00,6,6
2019-06-10 13:00:00,47,47
2019-06-10 13:05:00,53,53
2019-06-10 13:10:00,45,45
2019-06-10 13:15:00,2,2
2019-06-10 13:20:00,7,7
2019-06-10 13:25:00,43,43
2019-06-10 13:30:00,53,53
2019-06-10 13:35:00,125,125
2019-06-10 13:40:00,47,47
2019-06-10 13:45:00,50,50
2019-06-10 13:50:00,7,7
2019-06-10 13:55:00,4,4
2019-06-10 14:00:00,23,23
2019-06-10 14:05:00,6,6
2019-06-10 14:10:00,8,8
2019-06-10 14:15:00,8,8
2019-06-10 14:20:00,8,8
2019-06-10 14:25:00,12,12
2019-06-10 14:30:00,15,15
2019-06-10 14:35:00,6,6
2019-06-10 14:40:00,41,41
2019-06-10 14:45:00,74,74
2019-06-10 14:50:00,127,127
2019-06-10 14:55:00,45,45
2019-06-10 15:00:00,10,10
2019-06-10 15:05:00,80,80
2019-06-10 15:10:00,123,123
2019-06-10 15:15:00,6,6
2019-06-10 15:20:00,6,6
2019-06-10 15:25:00,10,10
2019-06-10 15:30:00,6,6
2019-06-10 15:35:00,2,2
2019-06-10 15:40:00,62,62
2019-06-10 15:45:00,61,61
2019-06-10 15:50:00,57,57
2019-06-10 15:55:00,5,5
2019-06-10 16:00:00,3,3
2019-06-10 16:05:00,4,4
2019-06-10 16:10:00,89,89
2019-06-10 16:15:00,45,45
2019-06-10 16:20:00,16,16
2019-06-10 16:25:00,4,4
2019-06-10 16:30:00,12,12
2019-06-10 16:35:00,36,36
2019-06-10 16:40:00,9,9
2019-06-10 16:45:00,32,32
2019-06-10 16:50:00,9,9
2019-06-10 16:55:00,4,4
2019-06-10 17:00:00,3,3
2019-06-10 17:05:00,4,4
2019-06-10 17:10:00,5,5
2019-06-10 17:15:00,4,4
2019-06-10 17:20:00,10,10
2019-06-10 17:25:00,2,2
2019-06-10 17:30:00,10,10
2019-06-10 17:35:00,4,4
2019-06-10 17:40:00,4,4
2019-06-10 17:45:00,7,7
2019-06-10 17:50:00,10,10
2019-06-10 17:55:00,12,12
2019-06-10 18:00:00,46,46
2019-06-10 18:05:00,40,40
2019-06-10 18:10:00,28,28
2019-06-10 18:15:00,23,23
2019-06-10 18:20:00,3,3
2019-06-10 18:25:00,20,20
2019-06-10 18:30:00,50,50
2019-06-10 18:35:00,52,52
2019-06-10 18:40:00,21,21
2019-06-10 18:45:00,53,53
2019-06-10 18:50:00,5,5
2019-06-10 18:55:00,8,8
2019-06-10 19:00:00,6,6
2019-06-10 19:05:00,6,6
2019-06-10 19:10:00,3,3
2019-06-10 19:15:00,8,8
2019-06-10 19:20:00,4,4
2019-06-10 19:25:00,2,2
2019-06-10 19:30:00,7,7
2019-06-10 19:35:00,2,2
2019-06-10 19:40:00,6,6
2019-06-10 19:45:00,5,5
2019-06-10 19:50:00,9,9
2019-06-10 19:55:00,2,2
2019-06-10 20:00:00,7,7
2019-06-10 20:05:00,2,2
2019-06-10 20:10:00,10,10
2019-06-10 20:15:00,16,16
2019-06-10 20:20:00,7,7
2019-06-10 20:25:00,8,8
2019-06-10 20:30:00,6,6
2019-06-10 20:35:00,4,4
2019-06-10 20:40:00,5,5
2019-06-10 20:45:00,7,7
2019-06-10 20:50:00,3,3
2019-06-10 20:55:00,9,9
2019-06-10 21:00:00,4,4
2019-06-10 21:05:00,4,4
2019-06-10 21:10:00,5,5
2019-06-10 21:15:00,8,8
2019-06-10 21:20:00,4,4
2019-06-10 21:25:00,5,5
2019-06-10 21:30:00,5,5
2019-06-10 21:35:00,5,5
2019-06-10 21:40:00,3,3
2019-06-10 21:45:00,6,6
2019-06-10 21:50:00,3,3
2019-06-10 21:55:00,5,5
