record_time,uplink_length,downlink_length
2019-06-06 09:00:00,36,36
2019-06-06 09:05:00,87,87
2019-06-06 09:10:00,57,57
2019-06-06 09:15:00,59,59
2019-06-06 09:20:00,12,12
2019-06-06 09:25:00,116,116
2019-06-06 09:30:00,758,758
2019-06-06 09:35:00,35,35
2019-06-06 09:40:00,441,441
2019-06-06 09:45:00,13,13
2019-06-06 09:50:00,16,16
2019-06-06 09:55:00,9,9
2019-06-06 10:00:00,15,15
2019-06-06 10:05:00,119,119
2019-06-06 10:10:00,55,55
2019-06-06 10:15:00,364,364
2019-06-06 10:20:00,15,15
2019-06-06 10:25:00,14,14
2019-06-06 10:30:00,16,16
2019-06-06 10:35:00,94,94
2019-06-06 10:40:00,36,36
2019-06-06 10:45:00,25,25
2019-06-06 10:50:00,25,25
2019-06-06 10:55:00,18,18
2019-06-06 11:00:00,81,81
2019-06-06 11:05:00,206,206
2019-06-06 11:10:00,322,322
2019-06-06 11:15:00,26,26
2019-06-06 11:20:00,7,7
2019-06-06 11:25:00,43,43
2019-06-06 11:30:00,12,12
2019-06-06 11:35:00,238,238
2019-06-06 11:40:00,22,22
2019-06-06 11:45:00,26,26
2019-06-06 11:50:00,37,37
2019-06-06 11:55:00,405,405
2019-06-06 12:00:00,14,14
2019-06-06 12:05:00,14,14
2019-06-06 12:10:00,46,46
2019-06-06 12:15:00,8,8
2019-06-06 12:20:00,16,16
2019-06-06 12:25:00,35,35
2019-06-06 12:30:00,12,12
2019-06-06 12:35:00,15,15
2019-06-06 12:40:00,12,12
2019-06-06 12:45:00,11,11
2019-06-06 12:50:00,13,13
2019-06-06 12:55:00,9,9
2019-06-06 13:00:00,18,18
2019-06-06 13:05:00,12,12
2019-06-06 13:10:00,52,52
2019-06-06 13:15:00,13,13
2019-06-06 13:20:00,16,16
2019-06-06 13:25:00,24,24
2019-06-06 13:30:00,36,36
2019-06-06 13:35:00,16,16
2019-06-06 13:40:00,10,10
2019-06-06 13:45:00,9,9
2019-06-06 13:50:00,26,26
2019-06-06 13:55:00,11,11
2019-06-06 14:00:00,18,18
2019-06-06 14:05:00,18,18
2019-06-06 14:10:00,79,79
2019-06-06 14:15:00,16,16
2019-06-06 14:20:00,15,15
2019-06-06 14:25:00,9,9
2019-06-06 14:30:00,27,27
2019-06-06 14:35:00,37,37
2019-06-06 14:40:00,363,363
2019-06-06 14:45:00,299,299
2019-06-06 14:50:00,10,10
2019-06-06 14:55:00,55,55
2019-06-06 15:00:00,166,166
2019-06-06 15:05:00,243,243
2019-06-06 15:10:00,124,124
2019-06-06 15:15:00,84,84
2019-06-06 15:20:00,323,323
2019-06-06 15:25:00,166,166
2019-06-06 15:30:00,62,62
2019-06-06 15:35:00,84,84
2019-06-06 15:40:00,226,226
2019-06-06 15:45:00,85,85
2019-06-06 15:50:00,11,11
2019-06-06 15:55:00,24,24
2019-06-06 16:00:00,14,14
2019-06-06 16:05:00,12,12
2019-06-06 16:10:00,49,49
2019-06-06 16:15:00,13,13
2019-06-06 16:20:00,17,17
2019-06-06 16:25:00,365,365
2019-06-06 16:30:00,510,510
2019-06-06 16:35:00,222,222
2019-06-06 16:40:00,351,351
2019-06-06 16:45:00,386,386
2019-06-06 16:50:00,158,158
2019-06-06 16:55:00,434,434
2019-06-06 17:00:00,301,301
2019-06-06 17:05:00,30,30
2019-06-06 17:10:00,305,305
2019-06-06 17:15:00,412,412
2019-06-06 17:20:00,555,555
2019-06-06 17:25:00,272,272
2019-06-06 17:30:00,160,160
2019-06-06 17:35:00,467,467
2019-06-06 17:40:00,61,61
2019-06-06 17:45:00,289,289
2019-06-06 17:50:00,352,352
2019-06-06 17:55:00,737,737
2019-06-06 18:00:00,263,263
2019-06-06 18:05:00,691,691
2019-06-06 18:10:00,793,793
2019-06-06 18:15:00,434,434
2019-06-06 18:20:00,816,816
2019-06-06 18:25:00,95,95
2019-06-06 18:30:00,13,13
2019-06-06 18:35:00,24,24
2019-06-06 18:40:00,76,76
2019-06-06 18:45:00,60,60
2019-06-06 18:50:00,433,433
2019-06-06 18:55:00,501,501
2019-06-06 19:00:00,256,256
2019-06-06 19:05:00,21,21
2019-06-06 19:10:00,304,304
2019-06-06 19:15:00,80,80
