record_time,uplink_length,downlink_length
2019-06-11 09:35:00,62,62
2019-06-11 09:40:00,448,448
2019-06-11 09:45:00,362,362
2019-06-11 09:50:00,438,438
2019-06-11 09:55:00,29,29
2019-06-11 10:00:00,16,16
2019-06-11 10:05:00,27,27
2019-06-11 10:10:00,42,42
2019-06-11 10:15:00,21,21
2019-06-11 10:20:00,92,92
2019-06-11 10:25:00,134,134
2019-06-11 10:30:00,107,107
2019-06-11 10:35:00,201,201
2019-06-11 10:40:00,37,37
2019-06-11 10:45:00,37,37
2019-06-11 10:50:00,54,54
2019-06-11 10:55:00,264,264
2019-06-11 11:00:00,40,40
2019-06-11 11:05:00,245,245
2019-06-11 11:10:00,43,43
2019-06-11 11:15:00,33,33
2019-06-11 11:20:00,26,26
2019-06-11 11:25:00,51,51
2019-06-11 11:30:00,63,63
2019-06-11 11:35:00,81,81
2019-06-11 11:40:00,81,81
2019-06-11 11:45:00,50,50
2019-06-11 11:50:00,69,69
2019-06-11 11:55:00,46,46
2019-06-11 12:00:00,29,29
2019-06-11 12:05:00,38,38
2019-06-11 12:10:00,20,20
2019-06-11 12:15:00,44,44
2019-06-11 12:20:00,28,28
2019-06-11 12:25:00,37,37
2019-06-11 12:30:00,22,22
2019-06-11 12:35:00,25,25
2019-06-11 12:40:00,53,53
2019-06-11 12:45:00,44,44
2019-06-11 12:50:00,58,58
2019-06-11 12:55:00,50,50
2019-06-11 13:00:00,48,48
2019-06-11 13:05:00,36,36
2019-06-11 13:10:00,70,70
2019-06-11 13:15:00,48,48
2019-06-11 13:20:00,44,44
2019-06-11 13:25:00,36,36
2019-06-11 13:30:00,25,25
2019-06-11 13:35:00,29,29
2019-06-11 13:40:00,44,44
2019-06-11 13:45:00,25,25
2019-06-11 13:50:00,50,50
2019-06-11 13:55:00,38,38
2019-06-11 14:00:00,19,19
2019-06-11 14:05:00,38,38
2019-06-11 14:10:00,39,39
2019-06-11 14:15:00,34,34
2019-06-11 14:20:00,25,25
2019-06-11 14:25:00,33,33
2019-06-11 14:30:00,53,53
2019-06-11 14:35:00,49,49
2019-06-11 14:40:00,48,48
2019-06-11 14:45:00,36,36
2019-06-11 14:50:00,69,69
2019-06-11 14:55:00,25,25
2019-06-11 15:00:00,17,17
2019-06-11 15:05:00,29,29
2019-06-11 15:10:00,30,30
2019-06-11 15:15:00,25,25
2019-06-11 15:20:00,36,36
2019-06-11 15:25:00,26,26
2019-06-11 15:30:00,46,46
2019-06-11 15:35:00,26,26
2019-06-11 15:40:00,36,36
2019-06-11 15:45:00,45,45
2019-06-11 15:50:00,72,72
2019-06-11 15:55:00,26,26
2019-06-11 16:00:00,42,42
2019-06-11 16:05:00,48,48
2019-06-11 16:10:00,38,38
2019-06-11 16:15:00,31,31
2019-06-11 16:20:00,21,21
2019-06-11 16:25:00,36,36
2019-06-11 16:30:00,25,25
2019-06-11 16:35:00,17,17
2019-06-11 16:40:00,35,35
2019-06-11 16:45:00,48,48
2019-06-11 16:50:00,63,63
2019-06-11 16:55:00,50,50
2019-06-11 17:00:00,28,28
2019-06-11 17:05:00,20,20
2019-06-11 17:10:00,28,28
2019-06-11 17:15:00,21,21
2019-06-11 17:20:00,30,30
2019-06-11 17:25:00,13,13
2019-06-11 17:30:00,55,55
2019-06-11 17:35:00,50,50
2019-06-11 17:40:00,49,49
2019-06-11 17:45:00,32,32
2019-06-11 17:50:00,92,92
2019-06-11 17:55:00,276,276
2019-06-11 18:00:00,158,158
2019-06-11 18:05:00,351,351
2019-06-11 18:10:00,155,155
2019-06-11 18:15:00,38,38
2019-06-11 18:20:00,106,106
2019-06-11 18:25:00,57,57
2019-06-11 18:30:00,253,253
2019-06-11 18:35:00,218,218
2019-06-11 18:40:00,209,209
2019-06-11 18:45:00,81,81
2019-06-11 18:50:00,75,75
2019-06-11 18:55:00,22,22
2019-06-11 19:00:00,24,24
2019-06-11 19:05:00,17,17
2019-06-11 19:10:00,23,23
2019-06-11 19:15:00,61,61
2019-06-11 19:20:00,126,126
2019-06-11 19:25:00,29,29
2019-06-11 19:30:00,29,29
2019-06-11 19:35:00,35,35
2019-06-11 19:40:00,54,54
2019-06-11 19:45:00,50,50
2019-06-11 19:50:00,70,70
2019-06-11 19:55:00,28,28
2019-06-11 20:00:00,35,35
2019-06-11 20:05:00,25,25
2019-06-11 20:10:00,31,31
2019-06-11 20:15:00,41,41
2019-06-11 20:20:00,28,28
2019-06-11 20:25:00,33,33
2019-06-11 20:30:00,32,32
2019-06-11 20:35:00,20,20
2019-06-11 20:40:00,36,36
2019-06-11 20:45:00,38,38
2019-06-11 20:50:00,55,55
2019-06-11 20:55:00,24,24
2019-06-11 21:00:00,22,22
2019-06-11 21:05:00,17,17
2019-06-11 21:10:00,23,23
2019-06-11 21:15:00,23,23
2019-06-11 21:20:00,30,30
2019-06-11 21:25:00,94,94
2019-06-11 21:30:00,146,146
