record_time,uplink_length,downlink_length
2019-06-10 08:25:00,114,114
2019-06-10 08:30:00,188,188
2019-06-10 08:35:00,61,61
2019-06-10 08:40:00,181,181
2019-06-10 08:45:00,32,32
2019-06-10 08:50:00,120,120
2019-06-10 08:55:00,404,404
2019-06-10 09:00:00,45,45
2019-06-10 09:05:00,24,24
2019-06-10 09:10:00,39,39
2019-06-10 09:15:00,39,39
2019-06-10 09:20:00,26,26
2019-06-10 09:25:00,52,52
2019-06-10 09:30:00,99,99
2019-06-10 09:35:00,169,169
2019-06-10 09:40:00,426,426
2019-06-10 09:45:00,53,53
2019-06-10 09:50:00,41,41
2019-06-10 09:55:00,16,16
2019-06-10 10:00:00,30,30
2019-06-10 10:05:00,33,33
2019-06-10 10:10:00,27,27
2019-06-10 10:15:00,53,53
2019-06-10 10:20:00,48,48
2019-06-10 10:25:00,57,57
2019-06-10 10:30:00,64,64
2019-06-10 10:35:00,62,62
2019-06-10 10:40:00,49,49
2019-06-10 10:45:00,23,23
2019-06-10 10:50:00,29,29
2019-06-10 10:55:00,70,70
2019-06-10 11:00:00,338,338
2019-06-10 11:05:00,28,28
2019-06-10 11:10:00,30,30
2019-06-10 11:15:00,27,27
2019-06-10 11:20:00,29,29
2019-06-10 11:25:00,65,65
2019-06-10 11:30:00,26,26
2019-06-10 11:35:00,64,64
2019-06-10 11:40:00,24,24
2019-06-10 11:45:00,20,20
2019-06-10 11:50:00,41,41
2019-06-10 11:55:00,30,30
2019-06-10 12:00:00,54,54
2019-06-10 12:05:00,22,22
2019-06-10 12:10:00,64,64
2019-06-10 12:15:00,45,45
2019-06-10 12:20:00,68,68
2019-06-10 12:25:00,383,383
2019-06-10 12:30:00,354,354
2019-06-10 12:35:00,271,271
2019-06-10 12:40:00,107,107
2019-06-10 12:45:00,91,91
2019-06-10 12:50:00,111,111
2019-06-10 12:55:00,108,108
2019-06-10 13:00:00,149,149
2019-06-10 13:05:00,262,262
2019-06-10 13:10:00,174,174
2019-06-10 13:15:00,37,37
2019-06-10 13:20:00,26,26
2019-06-10 13:25:00,57,57
2019-06-10 13:30:00,213,213
2019-06-10 13:35:00,82,82
2019-06-10 13:40:00,29,29
2019-06-10 13:45:00,24,24
2019-06-10 13:50:00,42,42
2019-06-10 13:55:00,282,282
2019-06-10 14:00:00,63,63
2019-06-10 14:05:00,171,171
2019-06-10 14:10:00,219,219
2019-06-10 14:15:00,68,68
2019-06-10 14:20:00,164,164
2019-06-10 14:25:00,72,72
2019-06-10 14:30:00,41,41
2019-06-10 14:35:00,69,69
2019-06-10 14:40:00,39,39
2019-06-10 14:45:00,33,33
2019-06-10 14:50:00,37,37
2019-06-10 14:55:00,47,47
2019-06-10 15:00:00,40,40
2019-06-10 15:05:00,389,389
2019-06-10 15:10:00,133,133
2019-06-10 15:15:00,37,37
2019-06-10 15:20:00,144,144
2019-06-10 15:25:00,99,99
2019-06-10 15:30:00,50,50
2019-06-10 15:35:00,88,88
2019-06-10 15:40:00,124,124
2019-06-10 15:45:00,374,374
2019-06-10 15:50:00,121,121
2019-06-10 15:55:00,88,88
2019-06-10 16:00:00,56,56
2019-06-10 16:05:00,47,47
2019-06-10 16:10:00,397,397
2019-06-10 16:15:00,54,54
2019-06-10 16:20:00,46,46
2019-06-10 16:25:00,127,127
2019-06-10 16:30:00,432,432
2019-06-10 16:35:00,79,79
2019-06-10 16:40:00,45,45
2019-06-10 16:45:00,33,33
2019-06-10 16:50:00,63,63
2019-06-10 16:55:00,162,162
2019-06-10 17:00:00,264,264
2019-06-10 17:05:00,126,126
2019-06-10 17:10:00,84,84
2019-06-10 17:15:00,174,174
2019-06-10 17:20:00,25,25
2019-06-10 17:25:00,111,111
2019-06-10 17:30:00,101,101
2019-06-10 17:35:00,228,228
2019-06-10 17:40:00,31,31
2019-06-10 17:45:00,24,24
2019-06-10 17:50:00,55,55
2019-06-10 17:55:00,172,172
2019-06-10 18:00:00,115,115
2019-06-10 18:05:00,317,317
2019-06-10 18:10:00,211,211
2019-06-10 18:15:00,56,56
2019-06-10 18:20:00,20,20
2019-06-10 18:25:00,108,108
2019-06-10 18:30:00,154,154
2019-06-10 18:35:00,67,67
2019-06-10 18:40:00,24,24
2019-06-10 18:45:00,18,18
2019-06-10 18:50:00,27,27
2019-06-10 18:55:00,33,33
2019-06-10 19:00:00,48,48
2019-06-10 19:05:00,34,34
2019-06-10 19:10:00,27,27
2019-06-10 19:15:00,18,18
2019-06-10 19:20:00,26,26
2019-06-10 19:25:00,48,48
2019-06-10 19:30:00,29,29
2019-06-10 19:35:00,76,76
2019-06-10 19:40:00,21,21
2019-06-10 19:45:00,17,17
2019-06-10 19:50:00,20,20
2019-06-10 19:55:00,32,32
2019-06-10 20:00:00,29,29
2019-06-10 20:05:00,25,25
2019-06-10 20:10:00,159,159
2019-06-10 20:15:00,211,211
2019-06-10 20:20:00,111,111
2019-06-10 20:25:00,25,25
