time,value
9:50:00,3
10:00:00,3
10:10:00,1
10:20:00,2
10:30:00,2
10:40:00,2
10:50:00,2
11:10:00,6
11:20:00,3
11:30:00,1
11:40:00,9
11:50:00,14
12:00:00,9
12:10:00,2
12:20:00,1
12:30:00,3
12:40:00,1
13:00:00,2
13:10:00,1
13:30:00,1
13:40:00,2
13:50:00,8
14:00:00,1
14:30:00,1
14:40:00,7
14:50:00,8
15:00:00,1
15:10:00,1
15:20:00,4
15:30:00,1
15:40:00,7
15:50:00,9
16:00:00,10
16:10:00,1
16:20:00,10
16:30:00,3
16:40:00,2
16:50:00,1
17:00:00,2
17:30:00,4
17:40:00,2
17:50:00,2
18:00:00,4
18:10:00,1
18:20:00,2
18:30:00,6
18:40:00,5
18:50:00,5
19:00:00,8
19:10:00,3
19:20:00,8
19:30:00,2
19:40:00,1
19:50:00,1
20:00:00,2
20:10:00,1
20:20:00,10
20:30:00,7
20:40:00,5
20:50:00,9
