time,value
2:20:00,6035
8:20:00,1
8:40:00,2
8:50:00,1
9:00:00,4
9:10:00,18
9:20:00,19
9:30:00,26
9:40:00,37
9:50:00,47
10:00:00,46
10:10:00,52
10:20:00,37
10:30:00,40
10:40:00,14
10:50:00,14
11:00:00,3
11:10:00,10
11:20:00,14
11:30:00,4
11:40:00,9
11:50:00,2
12:00:00,4
12:10:00,1
12:30:00,1
12:40:00,1
13:00:00,5
13:20:00,5
13:30:00,6
13:40:00,4
13:50:00,3
14:00:00,2
14:10:00,11
14:20:00,3
14:30:00,3
14:40:00,3
14:50:00,6
15:00:00,5
15:10:00,3
15:20:00,3
15:30:00,8
15:40:00,3
15:50:00,1
16:00:00,3
16:10:00,4
16:40:00,1
17:00:00,1
17:10:00,4
17:20:00,2
17:30:00,3
17:40:00,7
17:50:00,8
18:00:00,4
18:10:00,2
18:20:00,4
18:30:00,2
18:40:00,1
18:50:00,1
19:00:00,2
19:10:00,2
19:20:00,3
19:30:00,2
20:00:00,3
21:20:00,1
