record_time,uplink_length,downlink_length
2019-05-31 10:00:00,63,63
2019-05-31 10:05:00,348,348
2019-05-31 10:10:00,57,57
2019-05-31 10:15:00,24,24
2019-05-31 10:20:00,31,31
2019-05-31 10:25:00,230,230
2019-05-31 10:30:00,37,37
2019-05-31 10:35:00,28,28
2019-05-31 10:40:00,14,14
2019-05-31 10:45:00,29,29
2019-05-31 10:50:00,25,25
2019-05-31 10:55:00,18,18
2019-05-31 11:00:00,23,23
2019-05-31 11:05:00,20,20
2019-05-31 11:10:00,43,43
2019-05-31 11:15:00,254,254
2019-05-31 11:20:00,118,118
2019-05-31 11:25:00,54,54
2019-05-31 11:30:00,68,68
2019-05-31 11:35:00,22,22
2019-05-31 11:40:00,21,21
2019-05-31 11:45:00,14,14
2019-05-31 11:50:00,15,15
2019-05-31 11:55:00,13,13
2019-05-31 12:00:00,26,26
2019-05-31 12:05:00,26,26
2019-05-31 12:10:00,48,48
2019-05-31 12:15:00,17,17
2019-05-31 12:20:00,14,14
2019-05-31 12:25:00,15,15
2019-05-31 12:30:00,17,17
2019-05-31 12:35:00,17,17
2019-05-31 12:40:00,13,13
2019-05-31 12:45:00,17,17
2019-05-31 12:50:00,16,16
2019-05-31 12:55:00,12,12
2019-05-31 13:00:00,22,22
2019-05-31 13:05:00,402,402
2019-05-31 13:10:00,169,169
2019-05-31 13:15:00,17,17
2019-05-31 13:20:00,14,14
2019-05-31 13:25:00,16,16
2019-05-31 13:30:00,20,20
2019-05-31 13:35:00,13,13
2019-05-31 13:40:00,13,13
2019-05-31 13:45:00,21,21
2019-05-31 13:50:00,14,14
2019-05-31 13:55:00,21,21
2019-05-31 14:00:00,27,27
2019-05-31 14:05:00,14,14
2019-05-31 14:10:00,53,53
2019-05-31 14:15:00,49,49
2019-05-31 14:20:00,14,14
2019-05-31 14:25:00,13,13
2019-05-31 14:30:00,20,20
2019-05-31 14:35:00,17,17
2019-05-31 14:40:00,13,13
2019-05-31 14:45:00,18,18
2019-05-31 14:50:00,23,23
2019-05-31 14:55:00,14,14
2019-05-31 15:00:00,15,15
2019-05-31 15:05:00,20,20
2019-05-31 15:10:00,49,49
2019-05-31 15:15:00,26,26
2019-05-31 15:20:00,14,14
2019-05-31 15:25:00,17,17
2019-05-31 15:30:00,16,16
2019-05-31 15:35:00,12,12
2019-05-31 15:40:00,19,19
2019-05-31 15:45:00,21,21
2019-05-31 15:50:00,14,14
2019-05-31 15:55:00,37,37
2019-05-31 16:00:00,21,21
2019-05-31 16:05:00,26,26
2019-05-31 16:10:00,52,52
2019-05-31 16:15:00,26,26
2019-05-31 16:20:00,19,19
2019-05-31 16:25:00,72,72
2019-05-31 16:30:00,19,19
2019-05-31 16:35:00,24,24
2019-05-31 16:40:00,12,12
2019-05-31 16:45:00,34,34
2019-05-31 16:50:00,18,18
2019-05-31 16:55:00,14,14
2019-05-31 17:00:00,16,16
2019-05-31 17:05:00,14,14
2019-05-31 17:10:00,50,50
2019-05-31 17:15:00,21,21
2019-05-31 17:20:00,14,14
2019-05-31 17:25:00,12,12
2019-05-31 17:30:00,16,16
2019-05-31 17:35:00,23,23
2019-05-31 17:40:00,13,13
2019-05-31 17:45:00,26,26
2019-05-31 17:50:00,31,31
2019-05-31 17:55:00,22,22
2019-05-31 18:00:00,20,20
2019-05-31 18:05:00,15,15
2019-05-31 18:10:00,55,55
2019-05-31 18:15:00,80,80
2019-05-31 18:20:00,28,28
2019-05-31 18:25:00,43,43
2019-05-31 18:30:00,39,39
2019-05-31 18:35:00,51,51
2019-05-31 18:40:00,19,19
2019-05-31 18:45:00,137,137
2019-05-31 18:50:00,49,49
2019-05-31 18:55:00,142,142
2019-05-31 19:00:00,22,22
2019-05-31 19:05:00,26,26
2019-05-31 19:10:00,140,140
2019-05-31 19:15:00,9,9
