record_time,uplink_length,downlink_length
2019-06-01 00:00:00,17,17
2019-06-01 00:05:00,21,21
2019-06-01 00:10:00,17,17
2019-06-01 00:15:00,11,11
2019-06-01 00:20:00,29,29
2019-06-01 00:25:00,30,30
2019-06-01 00:30:00,11,11
2019-06-01 00:35:00,11,11
2019-06-01 00:40:00,10,10
2019-06-01 00:45:00,12,12
2019-06-01 00:50:00,14,14
2019-06-01 00:55:00,46,46
2019-06-01 01:00:00,10,10
2019-06-01 01:05:00,19,19
2019-06-01 01:10:00,14,14
2019-06-01 01:15:00,13,13
2019-06-01 01:20:00,12,12
2019-06-01 01:25:00,14,14
2019-06-01 01:30:00,13,13
2019-06-01 01:35:00,10,10
2019-06-01 01:40:00,21,21
2019-06-01 01:45:00,17,17
2019-06-01 01:50:00,10,10
2019-06-01 01:55:00,51,51
2019-06-01 02:00:00,17,17
2019-06-01 02:05:00,12,12
2019-06-01 02:10:00,16,16
2019-06-01 02:15:00,264,264
2019-06-01 02:20:00,28,28
2019-06-01 02:25:00,18,18
2019-06-01 02:30:00,14,14
2019-06-01 02:35:00,12,12
2019-06-01 02:40:00,6,6
2019-06-01 02:45:00,15,15
2019-06-01 02:50:00,11,11
2019-06-01 02:55:00,48,48
2019-06-01 03:00:00,10,10
2019-06-01 03:05:00,12,12
2019-06-01 03:10:00,15,15
2019-06-01 03:15:00,12,12
2019-06-01 03:20:00,10,10
2019-06-01 03:25:00,17,17
2019-06-01 03:30:00,17,17
2019-06-01 03:35:00,11,11
2019-06-01 03:40:00,6,6
2019-06-01 03:45:00,21,21
2019-06-01 03:50:00,11,11
2019-06-01 03:55:00,64,64
2019-06-01 04:00:00,25,25
2019-06-01 04:05:00,15,15
2019-06-01 04:10:00,21,21
2019-06-01 04:15:00,15,15
2019-06-01 04:20:00,30,30
2019-06-01 04:25:00,11,11
2019-06-01 04:30:00,11,11
2019-06-01 04:35:00,12,12
2019-06-01 04:40:00,8,8
2019-06-01 04:45:00,18,18
2019-06-01 04:50:00,18,18
2019-06-01 04:55:00,48,48
2019-06-01 05:00:00,9,9
2019-06-01 05:05:00,13,13
2019-06-01 05:10:00,16,16
2019-06-01 05:15:00,20,20
2019-06-01 05:20:00,8,8
2019-06-01 05:25:00,12,12
2019-06-01 05:30:00,11,11
2019-06-01 05:35:00,16,16
2019-06-01 05:40:00,14,14
2019-06-01 05:45:00,19,19
2019-06-01 05:50:00,16,16
2019-06-01 05:55:00,51,51
2019-06-01 06:00:00,13,13
2019-06-01 06:05:00,12,12
2019-06-01 06:10:00,20,20
2019-06-01 06:15:00,10,10
2019-06-01 06:20:00,17,17
2019-06-01 06:25:00,12,12
2019-06-01 06:30:00,30,30
2019-06-01 06:35:00,16,16
2019-06-01 06:40:00,7,7
2019-06-01 06:45:00,13,13
2019-06-01 06:50:00,11,11
2019-06-01 06:55:00,64,64
2019-06-01 07:00:00,9,9
2019-06-01 07:05:00,29,29
2019-06-01 07:10:00,19,19
2019-06-01 07:15:00,11,11
