time,value
0:00:00,1935
0:10:00,1958
0:20:00,2044
0:30:00,2016
0:40:00,1943
0:50:00,1917
1:00:00,1940
1:10:00,1936
1:20:00,2042
1:30:00,2066
1:40:00,2071
1:50:00,1955
2:00:00,1838
2:10:00,2014
2:20:00,2119
2:30:00,2008
2:40:00,2004
2:50:00,1865
3:00:00,1911
3:10:00,1905
3:20:00,1984
3:30:00,2075
3:40:00,1853
3:50:00,1762
4:00:00,1877
4:10:00,2049
4:20:00,1965
4:30:00,1799
4:40:00,1919
4:50:00,2104
5:00:00,2067
5:10:00,2048
5:20:00,2048
5:30:00,1985
5:40:00,1891
5:50:00,1798
6:00:00,1797
6:10:00,1874
6:20:00,1911
6:30:00,1893
6:40:00,1921
6:50:00,1895
7:00:00,1760
7:10:00,1768
7:20:00,2011
7:30:00,1945
7:40:00,1967
7:50:00,1942
8:00:00,1969
8:10:00,2046
8:20:00,1889
8:30:00,1850
8:40:00,1867
8:50:00,1871
9:00:00,1973
9:10:00,1867
9:20:00,1860
9:30:00,1607
9:40:00,1437
9:50:00,1328
10:00:00,1391
10:10:00,1331
10:20:00,1148
10:30:00,3058
10:40:00,3501
10:50:00,3472
11:00:00,3423
11:10:00,3505
11:20:00,3621
11:30:00,3332
11:40:00,3616
11:50:00,3187
12:00:00,2933
12:10:00,3616
12:20:00,3638
12:30:00,3381
12:40:00,3388
12:50:00,3385
13:00:00,3340
13:10:00,3635
13:20:00,3619
13:30:00,3426
13:40:00,3457
13:50:00,3152
14:00:00,3388
14:10:00,3239
14:20:00,3507
14:30:00,3528
14:40:00,3565
14:50:00,3245
15:00:00,3289
15:10:00,3200
15:20:00,3342
15:30:00,3280
15:40:00,3159
15:50:00,2736
16:00:00,2774
16:10:00,2703
16:20:00,2718
16:30:00,2814
16:40:00,2763
16:50:00,2616
17:00:00,2735
17:10:00,2653
17:20:00,2832
17:30:00,2822
17:40:00,2892
17:50:00,2617
18:00:00,2717
18:10:00,2602
18:20:00,2696
18:30:00,2557
18:40:00,2650
18:50:00,2465
19:00:00,2345
19:10:00,2281
19:20:00,2033
19:30:00,2068
19:40:00,1962
19:50:00,1745
20:00:00,1733
20:10:00,1624
20:20:00,1581
20:30:00,1596
20:40:00,1631
20:50:00,1611
21:00:00,1609
21:10:00,1658
21:20:00,1638
21:30:00,1741
21:40:00,1692
21:50:00,1661
22:00:00,1685
22:10:00,1651
22:20:00,1681
22:30:00,1682
22:40:00,1667
22:50:00,1686
23:00:00,1644
23:10:00,1695
23:20:00,1718
23:30:00,1690
23:40:00,1723
23:50:00,1653
