record_time,uplink_length,downlink_length
2019-06-13 10:00:00,118,118
2019-06-13 10:05:00,220,220
2019-06-13 10:10:00,101,101
2019-06-13 10:15:00,419,419
2019-06-13 10:20:00,692,692
2019-06-13 10:25:00,570,570
2019-06-13 10:30:00,478,478
2019-06-13 10:35:00,444,444
2019-06-13 10:40:00,436,436
2019-06-13 10:45:00,98,98
2019-06-13 10:50:00,259,259
2019-06-13 10:55:00,225,225
2019-06-13 11:00:00,302,302
2019-06-13 11:05:00,39,39
2019-06-13 11:10:00,212,212
2019-06-13 11:15:00,31,31
2019-06-13 11:20:00,133,133
2019-06-13 11:25:00,53,53
2019-06-13 11:30:00,27,27
2019-06-13 11:35:00,23,23
2019-06-13 11:40:00,60,60
2019-06-13 11:45:00,77,77
2019-06-13 11:50:00,309,309
2019-06-13 11:55:00,319,319
2019-06-13 12:00:00,418,418
2019-06-13 12:05:00,280,280
2019-06-13 12:10:00,218,218
2019-06-13 12:15:00,164,164
2019-06-13 12:20:00,152,152
2019-06-13 12:25:00,217,217
2019-06-13 12:30:00,414,414
2019-06-13 12:35:00,245,245
2019-06-13 12:40:00,255,255
2019-06-13 12:45:00,386,386
2019-06-13 12:50:00,136,136
2019-06-13 12:55:00,318,318
2019-06-13 13:00:00,478,478
2019-06-13 13:05:00,354,354
2019-06-13 13:10:00,473,473
2019-06-13 13:15:00,261,261
2019-06-13 13:20:00,254,254
2019-06-13 13:25:00,304,304
2019-06-13 13:30:00,142,142
2019-06-13 13:35:00,257,257
2019-06-13 13:40:00,160,160
2019-06-13 13:45:00,39,39
2019-06-13 13:50:00,17,17
2019-06-13 13:55:00,11,11
2019-06-13 14:00:00,30,30
2019-06-13 14:05:00,30,30
2019-06-13 14:10:00,67,67
2019-06-13 14:15:00,25,25
2019-06-13 14:20:00,18,18
2019-06-13 14:25:00,15,15
2019-06-13 14:30:00,15,15
2019-06-13 14:35:00,0,0
2019-06-13 14:40:00,315,315
2019-06-13 14:45:00,93,93
2019-06-13 14:50:00,258,258
2019-06-13 14:55:00,312,312
2019-06-13 15:00:00,301,301
2019-06-13 15:05:00,173,173
2019-06-13 15:10:00,110,110
2019-06-13 15:15:00,348,348
2019-06-13 15:20:00,239,239
2019-06-13 15:25:00,340,340
2019-06-13 15:30:00,300,300
2019-06-13 15:35:00,51,51
2019-06-13 15:40:00,303,303
2019-06-13 15:45:00,213,213
2019-06-13 15:50:00,360,360
2019-06-13 15:55:00,157,157
2019-06-13 16:00:00,239,239
2019-06-13 16:05:00,23,23
2019-06-13 16:10:00,23,23
2019-06-13 16:15:00,15,15
2019-06-13 16:20:00,79,79
2019-06-13 16:25:00,32,32
2019-06-13 16:30:00,77,77
2019-06-13 16:35:00,74,74
2019-06-13 16:40:00,30,30
2019-06-13 16:45:00,23,23
2019-06-13 16:50:00,213,213
2019-06-13 16:55:00,160,160
2019-06-13 17:00:00,296,296
2019-06-13 17:05:00,347,347
2019-06-13 17:10:00,221,221
2019-06-13 17:15:00,523,523
2019-06-13 17:20:00,578,578
2019-06-13 17:25:00,131,131
2019-06-13 17:30:00,15,15
2019-06-13 17:35:00,15,15
2019-06-13 17:40:00,96,96
2019-06-13 17:45:00,194,194
2019-06-13 17:50:00,29,29
2019-06-13 17:55:00,77,77
2019-06-13 18:00:00,164,164
2019-06-13 18:05:00,322,322
2019-06-13 18:10:00,574,574
2019-06-13 18:15:00,28,28
2019-06-13 18:20:00,1148,1148
2019-06-13 18:25:00,167,167
2019-06-13 18:30:00,28,28
2019-06-13 18:35:00,35,35
2019-06-13 18:40:00,34,34
2019-06-13 18:45:00,25,25
2019-06-13 18:50:00,34,34
