time,value
0:00:00,1656
0:10:00,1647
0:20:00,1673
0:30:00,1676
0:40:00,1792
0:50:00,1679
1:00:00,1699
1:10:00,1675
1:20:00,1702
1:30:00,1715
1:40:00,1793
1:50:00,1689
2:00:00,1525
2:10:00,1792
2:20:00,1825
2:30:00,1840
2:40:00,1719
2:50:00,1679
3:00:00,1737
3:10:00,1766
3:20:00,1775
3:30:00,1748
3:40:00,1742
3:50:00,1721
4:00:00,1777
4:10:00,1742
4:20:00,1743
4:30:00,1665
4:40:00,1623
4:50:00,1637
5:00:00,1671
5:10:00,1619
5:20:00,1629
5:30:00,1661
5:40:00,1648
5:50:00,1567
6:00:00,1613
6:10:00,1680
6:20:00,1653
6:30:00,1759
6:40:00,1782
6:50:00,1822
7:00:00,1809
7:10:00,1797
7:20:00,1778
7:30:00,1812
7:40:00,1790
7:50:00,1745
8:00:00,1682
8:10:00,1776
8:20:00,1730
8:30:00,1748
8:40:00,1714
8:50:00,1783
9:00:00,1823
9:10:00,1801
9:20:00,1728
9:30:00,1702
9:40:00,1693
9:50:00,1655
10:00:00,1694
10:10:00,1666
10:20:00,1659
10:30:00,1611
10:40:00,2508
10:50:00,2303
11:00:00,2491
11:10:00,2531
11:20:00,2524
11:30:00,2532
11:40:00,2587
11:50:00,2456
12:00:00,2370
12:10:00,2397
12:20:00,2416
12:30:00,2372
12:40:00,2385
12:50:00,2298
13:00:00,2421
13:10:00,2402
13:20:00,2385
13:30:00,2281
13:40:00,2418
13:50:00,2295
14:00:00,2330
14:10:00,2301
14:20:00,2569
14:30:00,2488
14:40:00,2437
14:50:00,2353
15:00:00,2412
15:10:00,2555
15:20:00,2468
15:30:00,2333
15:40:00,2290
15:50:00,2452
16:00:00,2667
16:10:00,2516
16:20:00,2367
16:30:00,2478
16:40:00,2430
16:50:00,2320
17:00:00,2425
17:10:00,2288
17:20:00,2338
17:30:00,2362
17:40:00,2504
17:50:00,2331
18:00:00,2171
18:10:00,1985
18:20:00,2016
18:30:00,2064
18:40:00,1945
18:50:00,1801
19:00:00,1836
19:10:00,1844
19:20:00,1843
19:30:00,1906
19:40:00,1868
19:50:00,1834
20:00:00,1935
20:10:00,1804
20:20:00,1821
20:30:00,1975
20:40:00,2084
20:50:00,2106
21:00:00,2104
21:10:00,2037
21:20:00,2140
21:30:00,2015
21:40:00,2050
21:50:00,2104
22:00:00,2026
22:10:00,2062
22:20:00,2090
22:30:00,2067
22:40:00,2103
22:50:00,2396
23:00:00,3963
23:10:00,4467
23:20:00,4309
23:30:00,4322
23:40:00,4344
23:50:00,2570
