record_time,uplink_length,downlink_length
2019-06-01 00:00:00,48,48
2019-06-01 00:05:00,33,33
2019-06-01 00:10:00,72,72
2019-06-01 00:15:00,41,41
2019-06-01 00:20:00,30,30
2019-06-01 00:25:00,12,12
2019-06-01 00:30:00,21,21
2019-06-01 00:35:00,31,31
2019-06-01 00:40:00,35,35
2019-06-01 00:45:00,17,17
2019-06-01 00:50:00,18,18
2019-06-01 00:55:00,9,9
2019-06-01 01:00:00,34,34
2019-06-01 01:05:00,35,35
2019-06-01 01:10:00,75,75
2019-06-01 01:15:00,32,32
2019-06-01 01:20:00,33,33
2019-06-01 01:25:00,30,30
2019-06-01 01:30:00,37,37
2019-06-01 01:35:00,31,31
2019-06-01 01:40:00,26,26
2019-06-01 01:45:00,25,25
2019-06-01 01:50:00,18,18
2019-06-01 01:55:00,9,9
2019-06-01 02:00:00,310,310
2019-06-01 02:05:00,35,35
2019-06-01 02:10:00,83,83
2019-06-01 02:15:00,34,34
2019-06-01 02:20:00,33,33
2019-06-01 02:25:00,31,31
2019-06-01 02:30:00,38,38
2019-06-01 02:35:00,30,30
2019-06-01 02:40:00,38,38
2019-06-01 02:45:00,31,31
2019-06-01 02:50:00,33,33
2019-06-01 02:55:00,34,34
2019-06-01 03:00:00,38,38
2019-06-01 03:05:00,23,23
2019-06-01 03:10:00,51,51
2019-06-01 03:15:00,18,18
2019-06-01 03:20:00,12,12
2019-06-01 03:25:00,12,12
2019-06-01 03:30:00,25,25
2019-06-01 03:35:00,12,12
2019-06-01 03:40:00,14,14
2019-06-01 03:45:00,14,14
2019-06-01 03:50:00,22,22
2019-06-01 03:55:00,21,21
2019-06-01 04:00:00,52,52
2019-06-01 04:05:00,32,32
2019-06-01 04:10:00,76,76
2019-06-01 04:15:00,32,32
2019-06-01 04:20:00,29,29
2019-06-01 04:25:00,15,15
2019-06-01 04:30:00,17,17
2019-06-01 04:35:00,15,15
2019-06-01 04:40:00,11,11
2019-06-01 04:45:00,23,23
2019-06-01 04:50:00,18,18
2019-06-01 04:55:00,35,35
2019-06-01 05:00:00,36,36
2019-06-01 05:05:00,14,14
2019-06-01 05:10:00,55,55
2019-06-01 05:15:00,16,16
2019-06-01 05:20:00,11,11
2019-06-01 05:25:00,21,21
2019-06-01 05:30:00,44,44
2019-06-01 05:35:00,44,44
2019-06-01 05:40:00,38,38
2019-06-01 05:45:00,31,31
2019-06-01 05:50:00,34,34
2019-06-01 05:55:00,34,34
2019-06-01 06:00:00,49,49
2019-06-01 06:05:00,38,38
2019-06-01 06:10:00,77,77
2019-06-01 06:15:00,22,22
2019-06-01 06:20:00,12,12
2019-06-01 06:25:00,14,14
2019-06-01 06:30:00,35,35
2019-06-01 06:35:00,33,33
2019-06-01 06:40:00,35,35
2019-06-01 06:45:00,14,14
2019-06-01 06:50:00,12,12
2019-06-01 06:55:00,13,13
2019-06-01 07:00:00,32,32
2019-06-01 07:05:00,37,37
2019-06-01 07:10:00,76,76
2019-06-01 07:15:00,38,38
2019-06-01 07:20:00,21,21
2019-06-01 07:25:00,26,26
2019-06-01 07:30:00,15,15
2019-06-01 07:35:00,20,20
2019-06-01 07:40:00,13,13
2019-06-01 07:45:00,27,27
2019-06-01 07:50:00,32,32
