record_time,uplink_length,downlink_length
2019-06-11 09:15:00,208,208
2019-06-11 09:20:00,243,243
2019-06-11 09:25:00,325,325
2019-06-11 09:30:00,217,217
2019-06-11 09:35:00,487,487
2019-06-11 09:40:00,27,27
2019-06-11 09:45:00,49,49
2019-06-11 09:50:00,67,67
2019-06-11 09:55:00,43,43
2019-06-11 10:00:00,31,31
2019-06-11 10:05:00,36,36
2019-06-11 10:10:00,186,186
2019-06-11 10:15:00,319,319
2019-06-11 10:20:00,94,94
2019-06-11 10:25:00,129,129
2019-06-11 10:30:00,228,228
2019-06-11 10:35:00,61,61
2019-06-11 10:40:00,57,57
2019-06-11 10:45:00,272,272
2019-06-11 10:50:00,101,101
2019-06-11 10:55:00,112,112
2019-06-11 11:00:00,64,64
2019-06-11 11:05:00,50,50
2019-06-11 11:10:00,55,55
2019-06-11 11:15:00,81,81
2019-06-11 11:20:00,111,111
2019-06-11 11:25:00,83,83
2019-06-11 11:30:00,30,30
2019-06-11 11:35:00,35,35
2019-06-11 11:40:00,44,44
2019-06-11 11:45:00,38,38
2019-06-11 11:50:00,172,172
2019-06-11 11:55:00,314,314
2019-06-11 12:00:00,41,41
2019-06-11 12:05:00,114,114
2019-06-11 12:10:00,40,40
2019-06-11 12:15:00,105,105
2019-06-11 12:20:00,115,115
2019-06-11 12:25:00,129,129
2019-06-11 12:30:00,62,62
2019-06-11 12:35:00,76,76
2019-06-11 12:40:00,63,63
2019-06-11 12:45:00,115,115
2019-06-11 12:50:00,50,50
2019-06-11 12:55:00,105,105
2019-06-11 13:00:00,39,39
2019-06-11 13:05:00,111,111
2019-06-11 13:10:00,88,88
2019-06-11 13:15:00,329,329
2019-06-11 13:20:00,213,213
2019-06-11 13:25:00,94,94
2019-06-11 13:30:00,193,193
2019-06-11 13:35:00,127,127
2019-06-11 13:40:00,219,219
2019-06-11 13:45:00,451,451
2019-06-11 13:50:00,517,517
2019-06-11 13:55:00,355,355
2019-06-11 14:00:00,227,227
2019-06-11 14:05:00,136,136
2019-06-11 14:10:00,168,168
2019-06-11 14:15:00,526,526
2019-06-11 14:20:00,695,695
2019-06-11 14:25:00,424,424
2019-06-11 14:30:00,349,349
2019-06-11 14:35:00,678,678
2019-06-11 14:40:00,750,750
2019-06-11 14:45:00,333,333
2019-06-11 14:50:00,194,194
2019-06-11 14:55:00,100,100
2019-06-11 15:00:00,48,48
2019-06-11 15:05:00,79,79
2019-06-11 15:10:00,98,98
2019-06-11 15:15:00,175,175
2019-06-11 15:20:00,239,239
2019-06-11 15:25:00,169,169
2019-06-11 15:30:00,110,110
2019-06-11 15:35:00,172,172
2019-06-11 15:40:00,111,111
2019-06-11 15:45:00,110,110
2019-06-11 15:50:00,76,76
2019-06-11 15:55:00,75,75
2019-06-11 16:00:00,63,63
2019-06-11 16:05:00,63,63
2019-06-11 16:10:00,264,264
2019-06-11 16:15:00,200,200
2019-06-11 16:20:00,108,108
2019-06-11 16:25:00,95,95
2019-06-11 16:30:00,108,108
2019-06-11 16:35:00,109,109
2019-06-11 16:40:00,95,95
2019-06-11 16:45:00,102,102
2019-06-11 16:50:00,118,118
2019-06-11 16:55:00,92,92
2019-06-11 17:00:00,76,76
2019-06-11 17:05:00,95,95
2019-06-11 17:10:00,235,235
2019-06-11 17:15:00,285,285
2019-06-11 17:20:00,351,351
2019-06-11 17:25:00,147,147
2019-06-11 17:30:00,84,84
2019-06-11 17:35:00,72,72
2019-06-11 17:40:00,81,81
2019-06-11 17:45:00,98,98
2019-06-11 17:50:00,123,123
2019-06-11 17:55:00,218,218
2019-06-11 18:00:00,181,181
2019-06-11 18:05:00,95,95
2019-06-11 18:10:00,148,148
2019-06-11 18:15:00,458,458
2019-06-11 18:20:00,599,599
2019-06-11 18:25:00,547,547
2019-06-11 18:30:00,476,476
2019-06-11 18:35:00,291,291
2019-06-11 18:40:00,202,202
2019-06-11 18:45:00,138,138
2019-06-11 18:50:00,53,53
2019-06-11 18:55:00,52,52
2019-06-11 19:00:00,65,65
2019-06-11 19:05:00,69,69
2019-06-11 19:10:00,59,59
2019-06-11 19:15:00,55,55
2019-06-11 19:20:00,45,45
2019-06-11 19:25:00,86,86
2019-06-11 19:30:00,64,64
2019-06-11 19:35:00,47,47
2019-06-11 19:40:00,63,63
2019-06-11 19:45:00,70,70
2019-06-11 19:50:00,71,71
2019-06-11 19:55:00,87,87
2019-06-11 20:00:00,239,239
2019-06-11 20:05:00,560,560
2019-06-11 20:10:00,88,88
2019-06-11 20:15:00,119,119
2019-06-11 20:20:00,198,198
2019-06-11 20:25:00,279,279
2019-06-11 20:30:00,292,292
2019-06-11 20:35:00,171,171
2019-06-11 20:40:00,64,64
2019-06-11 20:45:00,363,363
2019-06-11 20:50:00,168,168
2019-06-11 20:55:00,362,362
2019-06-11 21:00:00,195,195
2019-06-11 21:05:00,137,137
2019-06-11 21:10:00,154,154
2019-06-11 21:15:00,161,161
2019-06-11 21:20:00,426,426
2019-06-11 21:25:00,171,171
2019-06-11 21:30:00,70,70
2019-06-11 21:35:00,402,402
2019-06-11 21:40:00,76,76
2019-06-11 21:45:00,168,168
2019-06-11 21:50:00,141,141
2019-06-11 21:55:00,20,20
