record_time,uplink_length,downlink_length
2019-06-04 10:00:00,62,62
2019-06-04 10:05:00,262,262
2019-06-04 10:10:00,66,66
2019-06-04 10:15:00,53,53
2019-06-04 10:20:00,46,46
2019-06-04 10:25:00,108,108
2019-06-04 10:30:00,28,28
2019-06-04 10:35:00,25,25
2019-06-04 10:40:00,52,52
2019-06-04 10:45:00,63,63
2019-06-04 10:50:00,98,98
2019-06-04 10:55:00,42,42
2019-06-04 11:00:00,33,33
2019-06-04 11:05:00,92,92
2019-06-04 11:10:00,41,41
2019-06-04 11:15:00,248,248
2019-06-04 11:20:00,5,5
2019-06-04 11:25:00,15,15
2019-06-04 11:30:00,29,29
2019-06-04 11:35:00,113,113
2019-06-04 11:40:00,17,17
2019-06-04 11:45:00,16,16
2019-06-04 11:50:00,6,6
2019-06-04 11:55:00,26,26
2019-06-04 12:00:00,12,12
2019-06-04 12:05:00,27,27
2019-06-04 12:10:00,25,25
2019-06-04 12:15:00,18,18
2019-06-04 12:20:00,10,10
2019-06-04 12:25:00,6,6
2019-06-04 12:30:00,10,10
2019-06-04 12:35:00,11,11
2019-06-04 12:40:00,13,13
2019-06-04 12:45:00,10,10
2019-06-04 12:50:00,6,6
2019-06-04 12:55:00,6,6
2019-06-04 13:00:00,11,11
2019-06-04 13:05:00,15,15
2019-06-04 13:10:00,26,26
2019-06-04 13:15:00,11,11
2019-06-04 13:20:00,5,5
2019-06-04 13:25:00,14,14
2019-06-04 13:30:00,7,7
2019-06-04 13:35:00,11,11
2019-06-04 13:40:00,18,18
2019-06-04 13:45:00,9,9
2019-06-04 13:50:00,12,12
2019-06-04 13:55:00,12,12
2019-06-04 14:00:00,28,28
2019-06-04 14:05:00,21,21
2019-06-04 14:10:00,27,27
2019-06-04 14:15:00,16,16
2019-06-04 14:20:00,4,4
2019-06-04 14:25:00,9,9
2019-06-04 14:30:00,19,19
2019-06-04 14:35:00,15,15
2019-06-04 14:40:00,9,9
2019-06-04 14:45:00,23,23
2019-06-04 14:50:00,14,14
2019-06-04 14:55:00,82,82
2019-06-04 15:00:00,125,125
2019-06-04 15:05:00,112,112
2019-06-04 15:10:00,86,86
2019-06-04 15:15:00,87,87
2019-06-04 15:20:00,57,57
2019-06-04 15:25:00,96,96
2019-06-04 15:30:00,104,104
2019-06-04 15:35:00,188,188
2019-06-04 15:40:00,116,116
2019-06-04 15:45:00,77,77
2019-06-04 15:50:00,55,55
2019-06-04 15:55:00,55,55
2019-06-04 16:00:00,65,65
2019-06-04 16:05:00,89,89
2019-06-04 16:10:00,95,95
2019-06-04 16:15:00,68,68
2019-06-04 16:20:00,92,92
2019-06-04 16:25:00,127,127
2019-06-04 16:30:00,46,46
2019-06-04 16:35:00,23,23
2019-06-04 16:40:00,22,22
2019-06-04 16:45:00,11,11
2019-06-04 16:50:00,414,414
2019-06-04 16:55:00,52,52
2019-06-04 17:00:00,16,16
2019-06-04 17:05:00,17,17
2019-06-04 17:10:00,64,64
2019-06-04 17:15:00,12,12
2019-06-04 17:20:00,5,5
2019-06-04 17:25:00,173,173
2019-06-04 17:30:00,10,10
2019-06-04 17:35:00,24,24
2019-06-04 17:40:00,29,29
2019-06-04 17:45:00,10,10
2019-06-04 17:50:00,18,18
2019-06-04 17:55:00,133,133
2019-06-04 18:00:00,47,47
2019-06-04 18:05:00,165,165
2019-06-04 18:10:00,56,56
2019-06-04 18:15:00,42,42
2019-06-04 18:20:00,9,9
2019-06-04 18:25:00,9,9
2019-06-04 18:30:00,20,20
2019-06-04 18:35:00,60,60
2019-06-04 18:40:00,49,49
2019-06-04 18:45:00,15,15
2019-06-04 18:50:00,7,7
2019-06-04 18:55:00,16,16
2019-06-04 19:00:00,110,110
2019-06-04 19:05:00,46,46
2019-06-04 19:10:00,34,34
2019-06-04 19:15:00,10,10
2019-06-04 19:20:00,6,6
2019-06-04 19:25:00,169,169
2019-06-04 19:30:00,14,14
2019-06-04 19:35:00,20,20
2019-06-04 19:40:00,11,11
2019-06-04 19:45:00,11,11
2019-06-04 19:50:00,13,13
2019-06-04 19:55:00,7,7
2019-06-04 20:00:00,16,16
2019-06-04 20:05:00,18,18
2019-06-04 20:10:00,31,31
2019-06-04 20:15:00,24,24
2019-06-04 20:20:00,10,10
2019-06-04 20:25:00,8,8
2019-06-04 20:30:00,8,8
2019-06-04 20:35:00,23,23
2019-06-04 20:40:00,12,12
2019-06-04 20:45:00,23,23
2019-06-04 20:50:00,5,5
2019-06-04 20:55:00,5,5
2019-06-04 21:00:00,19,19
2019-06-04 21:05:00,18,18
2019-06-04 21:10:00,30,30
2019-06-04 21:15:00,10,10
2019-06-04 21:20:00,12,12
2019-06-04 21:25:00,12,12
2019-06-04 21:30:00,8,8
2019-06-04 21:35:00,15,15
2019-06-04 21:40:00,11,11
2019-06-04 21:45:00,14,14
2019-06-04 21:50:00,552,552
2019-06-04 21:55:00,7,7
