record_time,uplink_length,downlink_length
2019-06-12 09:30:00,575,575
2019-06-12 09:35:00,313,313
2019-06-12 09:40:00,340,340
2019-06-12 09:45:00,52,52
2019-06-12 09:50:00,151,151
2019-06-12 09:55:00,210,210
2019-06-12 10:00:00,132,132
2019-06-12 10:05:00,216,216
2019-06-12 10:10:00,110,110
2019-06-12 10:15:00,61,61
2019-06-12 10:20:00,21,21
2019-06-12 10:25:00,66,66
2019-06-12 10:30:00,37,37
2019-06-12 10:35:00,111,111
2019-06-12 10:40:00,207,207
2019-06-12 10:45:00,341,341
2019-06-12 10:50:00,103,103
2019-06-12 10:55:00,129,129
2019-06-12 11:00:00,21,21
2019-06-12 11:05:00,21,21
2019-06-12 11:10:00,19,19
2019-06-12 11:15:00,17,17
2019-06-12 11:20:00,23,23
2019-06-12 11:25:00,23,23
2019-06-12 11:30:00,25,25
2019-06-12 11:35:00,32,32
2019-06-12 11:40:00,61,61
2019-06-12 11:45:00,536,536
2019-06-12 11:50:00,353,353
2019-06-12 11:55:00,13,13
2019-06-12 12:00:00,22,22
2019-06-12 12:05:00,17,17
2019-06-12 12:10:00,18,18
2019-06-12 12:15:00,17,17
2019-06-12 12:20:00,18,18
2019-06-12 12:25:00,2,2
2019-06-12 12:30:00,2,2
2019-06-12 12:35:00,1,1
2019-06-12 12:40:00,2,2
2019-06-12 12:45:00,1,1
2019-06-12 12:50:00,356,356
2019-06-12 12:55:00,419,419
2019-06-12 13:00:00,14,14
2019-06-12 13:05:00,85,85
2019-06-12 13:10:00,23,23
2019-06-12 13:15:00,22,22
2019-06-12 13:20:00,32,32
2019-06-12 13:25:00,10,10
2019-06-12 13:30:00,28,28
2019-06-12 13:35:00,19,19
2019-06-12 13:40:00,17,17
2019-06-12 13:45:00,17,17
2019-06-12 13:50:00,226,226
2019-06-12 13:55:00,132,132
2019-06-12 14:00:00,74,74
2019-06-12 14:05:00,90,90
2019-06-12 14:10:00,87,87
2019-06-12 14:15:00,111,111
2019-06-12 14:20:00,178,178
2019-06-12 14:25:00,184,184
2019-06-12 14:30:00,201,201
2019-06-12 14:35:00,217,217
2019-06-12 14:40:00,48,48
2019-06-12 14:45:00,19,19
2019-06-12 14:50:00,53,53
2019-06-12 14:55:00,51,51
2019-06-12 15:00:00,15,15
2019-06-12 15:05:00,16,16
2019-06-12 15:10:00,14,14
2019-06-12 15:15:00,2,2
2019-06-12 15:20:00,3,3
2019-06-12 15:25:00,147,147
2019-06-12 15:30:00,222,222
2019-06-12 15:35:00,142,142
2019-06-12 15:40:00,276,276
2019-06-12 15:45:00,286,286
2019-06-12 15:50:00,32,32
2019-06-12 15:55:00,74,74
2019-06-12 16:00:00,26,26
2019-06-12 16:05:00,24,24
2019-06-12 16:10:00,25,25
2019-06-12 16:15:00,12,12
2019-06-12 16:20:00,27,27
2019-06-12 16:25:00,275,275
2019-06-12 16:30:00,83,83
2019-06-12 16:35:00,18,18
2019-06-12 16:40:00,81,81
2019-06-12 16:45:00,265,265
2019-06-12 16:50:00,265,265
2019-06-12 16:55:00,600,600
2019-06-12 17:00:00,301,301
2019-06-12 17:05:00,52,52
2019-06-12 17:10:00,165,165
2019-06-12 17:15:00,33,33
2019-06-12 17:20:00,48,48
2019-06-12 17:25:00,36,36
2019-06-12 17:30:00,39,39
2019-06-12 17:35:00,28,28
2019-06-12 17:40:00,237,237
2019-06-12 17:45:00,70,70
2019-06-12 17:50:00,25,25
2019-06-12 17:55:00,59,59
2019-06-12 18:00:00,576,576
2019-06-12 18:05:00,320,320
2019-06-12 18:10:00,58,58
2019-06-12 18:15:00,309,309
2019-06-12 18:20:00,447,447
2019-06-12 18:25:00,184,184
2019-06-12 18:30:00,247,247
2019-06-12 18:35:00,292,292
2019-06-12 18:40:00,338,338
2019-06-12 18:45:00,163,163
2019-06-12 18:50:00,151,151
2019-06-12 18:55:00,114,114
2019-06-12 19:00:00,35,35
2019-06-12 19:05:00,187,187
2019-06-12 19:10:00,388,388
2019-06-12 19:15:00,55,55
2019-06-12 19:20:00,207,207
2019-06-12 19:25:00,77,77
2019-06-12 19:30:00,28,28
2019-06-12 19:35:00,18,18
2019-06-12 19:40:00,12,12
2019-06-12 19:45:00,34,34
2019-06-12 19:50:00,24,24
2019-06-12 19:55:00,54,54
2019-06-12 20:00:00,8,8
2019-06-12 20:05:00,1,1
2019-06-12 20:10:00,2,2
2019-06-12 20:15:00,1,1
2019-06-12 20:20:00,2,2
2019-06-12 20:25:00,1,1
2019-06-12 20:30:00,2,2
2019-06-12 20:35:00,1,1
2019-06-12 20:40:00,2,2
2019-06-12 20:45:00,1,1
2019-06-12 20:50:00,2,2
2019-06-12 20:55:00,0,0
2019-06-12 21:00:00,2,2
2019-06-12 21:05:00,1,1
2019-06-12 21:10:00,2,2
2019-06-12 21:15:00,1,1
2019-06-12 21:20:00,2,2
2019-06-12 21:25:00,1,1
2019-06-12 21:30:00,2,2
2019-06-12 21:35:00,1,1
2019-06-12 21:40:00,2,2
