record_time,uplink_length,downlink_length
2019-06-06 09:25:00,36,36
2019-06-06 09:30:00,174,174
2019-06-06 09:35:00,323,323
2019-06-06 09:40:00,41,41
2019-06-06 09:45:00,24,24
2019-06-06 09:50:00,18,18
2019-06-06 09:55:00,193,193
2019-06-06 10:00:00,303,303
2019-06-06 10:05:00,129,129
2019-06-06 10:10:00,136,136
2019-06-06 10:15:00,123,123
2019-06-06 10:20:00,154,154
2019-06-06 10:25:00,167,167
2019-06-06 10:30:00,421,421
2019-06-06 10:35:00,94,94
2019-06-06 10:40:00,64,64
2019-06-06 10:45:00,16,16
2019-06-06 10:50:00,31,31
2019-06-06 10:55:00,33,33
2019-06-06 11:00:00,33,33
2019-06-06 11:05:00,59,59
2019-06-06 11:10:00,29,29
2019-06-06 11:15:00,35,35
2019-06-06 11:20:00,26,26
2019-06-06 11:25:00,39,39
2019-06-06 11:30:00,16,16
2019-06-06 11:35:00,130,130
2019-06-06 11:40:00,9,9
2019-06-06 11:45:00,22,22
2019-06-06 11:50:00,25,25
2019-06-06 11:55:00,10,10
2019-06-06 12:00:00,16,16
2019-06-06 12:05:00,19,19
2019-06-06 12:10:00,347,347
2019-06-06 12:15:00,13,13
2019-06-06 12:20:00,36,36
2019-06-06 12:25:00,39,39
2019-06-06 12:30:00,12,12
2019-06-06 12:35:00,70,70
2019-06-06 12:40:00,72,72
2019-06-06 12:45:00,17,17
2019-06-06 12:50:00,10,10
2019-06-06 12:55:00,155,155
2019-06-06 13:00:00,37,37
2019-06-06 13:05:00,33,33
2019-06-06 13:10:00,13,13
2019-06-06 13:15:00,13,13
2019-06-06 13:20:00,17,17
2019-06-06 13:25:00,30,30
2019-06-06 13:30:00,14,14
2019-06-06 13:35:00,56,56
2019-06-06 13:40:00,14,14
2019-06-06 13:45:00,60,60
2019-06-06 13:50:00,1183,1183
2019-06-06 13:55:00,234,234
2019-06-06 14:00:00,195,195
2019-06-06 14:05:00,275,275
2019-06-06 14:10:00,164,164
2019-06-06 14:15:00,167,167
2019-06-06 14:20:00,377,377
2019-06-06 14:25:00,367,367
2019-06-06 14:30:00,260,260
2019-06-06 14:35:00,217,217
2019-06-06 14:40:00,235,235
2019-06-06 14:45:00,51,51
2019-06-06 14:50:00,55,55
2019-06-06 14:55:00,114,114
2019-06-06 15:00:00,41,41
2019-06-06 15:05:00,84,84
2019-06-06 15:10:00,104,104
2019-06-06 15:15:00,59,59
2019-06-06 15:20:00,36,36
2019-06-06 15:25:00,50,50
2019-06-06 15:30:00,58,58
2019-06-06 15:35:00,94,94
2019-06-06 15:40:00,61,61
2019-06-06 15:45:00,62,62
2019-06-06 15:50:00,82,82
2019-06-06 15:55:00,78,78
2019-06-06 16:00:00,76,76
2019-06-06 16:05:00,49,49
2019-06-06 16:10:00,52,52
2019-06-06 16:15:00,118,118
2019-06-06 16:20:00,743,743
2019-06-06 16:25:00,78,78
2019-06-06 16:30:00,64,64
2019-06-06 16:35:00,100,100
2019-06-06 16:40:00,49,49
2019-06-06 16:45:00,47,47
2019-06-06 16:50:00,74,74
2019-06-06 16:55:00,11,11
2019-06-06 17:00:00,288,288
2019-06-06 17:05:00,128,128
2019-06-06 17:10:00,46,46
2019-06-06 17:15:00,68,68
2019-06-06 17:20:00,28,28
2019-06-06 17:25:00,47,47
2019-06-06 17:30:00,42,42
2019-06-06 17:35:00,404,404
2019-06-06 17:40:00,68,68
2019-06-06 17:45:00,29,29
2019-06-06 17:50:00,28,28
2019-06-06 17:55:00,38,38
2019-06-06 18:00:00,246,246
2019-06-06 18:05:00,51,51
2019-06-06 18:10:00,29,29
2019-06-06 18:15:00,48,48
2019-06-06 18:20:00,33,33
2019-06-06 18:25:00,48,48
2019-06-06 18:30:00,42,42
2019-06-06 18:35:00,77,77
2019-06-06 18:40:00,35,35
2019-06-06 18:45:00,36,36
2019-06-06 18:50:00,25,25
2019-06-06 18:55:00,13,13
2019-06-06 19:00:00,16,16
2019-06-06 19:05:00,13,13
2019-06-06 19:10:00,36,36
2019-06-06 19:15:00,47,47
