time,value
2:20:00,4959
7:30:00,1
8:50:00,6
9:00:00,8
9:10:00,15
9:20:00,11
9:30:00,26
9:40:00,18
9:50:00,89
10:00:00,27
10:10:00,35
10:20:00,44
10:30:00,28
10:40:00,13
10:50:00,6
11:00:00,8
11:10:00,10
11:20:00,8
11:30:00,3
11:40:00,5
11:50:00,1
12:00:00,3
12:10:00,5
12:20:00,1
12:30:00,1
13:00:00,3
13:10:00,1
13:20:00,3
13:30:00,8
13:40:00,2
13:50:00,2
14:00:00,5
14:10:00,4
14:20:00,6
14:30:00,3
14:40:00,4
14:50:00,4
15:00:00,6
15:10:00,6
15:20:00,2
15:30:00,10
15:40:00,3
15:50:00,6
16:00:00,3
16:10:00,5
16:20:00,3
16:30:00,3
16:50:00,3
17:00:00,2
17:10:00,1
17:20:00,1
17:50:00,2
18:10:00,1
18:20:00,5
18:30:00,3
18:40:00,2
18:50:00,3
19:00:00,5
19:20:00,1
19:30:00,1
19:50:00,1
20:20:00,1
20:30:00,1
20:50:00,3
21:10:00,1
21:50:00,1
