record_time,uplink_length,downlink_length
2019-06-04 09:40:00,66,66
2019-06-04 09:45:00,82,82
2019-06-04 09:50:00,50,50
2019-06-04 09:55:00,508,508
2019-06-04 10:00:00,368,368
2019-06-04 10:05:00,532,532
2019-06-04 10:10:00,406,406
2019-06-04 10:15:00,329,329
2019-06-04 10:20:00,86,86
2019-06-04 10:25:00,21,21
2019-06-04 10:30:00,61,61
2019-06-04 10:35:00,15,15
2019-06-04 10:40:00,23,23
2019-06-04 10:45:00,37,37
2019-06-04 10:50:00,180,180
2019-06-04 10:55:00,54,54
2019-06-04 11:00:00,16,16
2019-06-04 11:05:00,702,702
2019-06-04 11:10:00,1169,1169
2019-06-04 11:15:00,212,212
2019-06-04 11:20:00,258,258
2019-06-04 11:25:00,184,184
2019-06-04 11:30:00,81,81
2019-06-04 11:35:00,720,720
2019-06-04 11:40:00,43,43
2019-06-04 11:45:00,0,0
2019-06-04 11:50:00,0,0
2019-06-04 11:55:00,0,0
2019-06-04 12:00:00,0,0
2019-06-04 12:05:00,0,0
2019-06-04 12:10:00,0,0
2019-06-04 12:15:00,0,0
2019-06-04 12:20:00,0,0
2019-06-04 12:25:00,0,0
2019-06-04 12:30:00,0,0
2019-06-04 12:35:00,0,0
2019-06-04 12:40:00,0,0
2019-06-04 12:45:00,0,0
2019-06-04 12:50:00,0,0
2019-06-04 12:55:00,0,0
2019-06-04 13:00:00,0,0
2019-06-04 13:05:00,0,0
2019-06-04 13:10:00,0,0
2019-06-04 13:15:00,0,0
2019-06-04 13:20:00,0,0
2019-06-04 13:25:00,0,0
2019-06-04 13:30:00,0,0
2019-06-04 13:35:00,470,470
2019-06-04 13:40:00,58,58
2019-06-04 13:45:00,51,51
2019-06-04 13:50:00,292,292
2019-06-04 13:55:00,18,18
2019-06-04 14:00:00,27,27
2019-06-04 14:05:00,65,65
2019-06-04 14:10:00,10,10
2019-06-04 14:15:00,36,36
2019-06-04 14:20:00,327,327
2019-06-04 14:25:00,403,403
2019-06-04 14:30:00,24,24
2019-06-04 14:35:00,27,27
2019-06-04 14:40:00,397,397
2019-06-04 14:45:00,998,998
2019-06-04 14:50:00,29,29
2019-06-04 14:55:00,100,100
2019-06-04 15:00:00,22,22
2019-06-04 15:05:00,30,30
2019-06-04 15:10:00,16,16
2019-06-04 15:15:00,115,115
2019-06-04 15:20:00,283,283
2019-06-04 15:25:00,801,801
2019-06-04 15:30:00,230,230
2019-06-04 15:35:00,251,251
2019-06-04 15:40:00,569,569
2019-06-04 15:45:00,299,299
2019-06-04 15:50:00,92,92
2019-06-04 15:55:00,21,21
2019-06-04 16:00:00,12,12
2019-06-04 16:05:00,20,20
2019-06-04 16:10:00,16,16
2019-06-04 16:15:00,14,14
2019-06-04 16:20:00,0,0
2019-06-04 16:25:00,0,0
2019-06-04 16:30:00,379,379
2019-06-04 16:35:00,175,175
2019-06-04 16:40:00,311,311
2019-06-04 16:45:00,22,22
2019-06-04 16:50:00,63,63
2019-06-04 16:55:00,23,23
2019-06-04 17:00:00,29,29
2019-06-04 17:05:00,11,11
2019-06-04 17:10:00,0,0
2019-06-04 17:15:00,411,411
2019-06-04 17:20:00,106,106
2019-06-04 17:25:00,114,114
2019-06-04 17:30:00,15,15
2019-06-04 17:35:00,113,113
2019-06-04 17:40:00,297,297
2019-06-04 17:45:00,312,312
2019-06-04 17:50:00,138,138
2019-06-04 17:55:00,197,197
2019-06-04 18:00:00,57,57
2019-06-04 18:05:00,23,23
2019-06-04 18:10:00,194,194
2019-06-04 18:15:00,66,66
2019-06-04 18:20:00,4,4
2019-06-04 18:25:00,27,27
