indexs,10.24.49.154,10.24.49.154,10.24.64.118,10.39.11.174,10.39.18.40,10.49.137.199,10.49.137.87,10.49.223.163,10.49.223.194,10.49.253.35,10.49.253.53,10.49.36.147,10.49.81.218
2019-06-10 00:10:00,3.0,3.0,1096,0.0,0.0,0.0,0.0,1.0,0.0,205,8,0.0,24
2019-06-10 00:20:00,0.0,0.0,1098,0.0,0.0,0.0,0.0,0.0,0.0,203,8,0.0,45
2019-06-10 00:30:00,0.0,0.0,1100,0.0,0.0,0.0,0.0,924.0,0.0,202,8,0.0,61
2019-06-10 00:40:00,0.0,0.0,1095,0.0,0.0,0.0,0.0,0.0,0.0,203,8,0.0,21
2019-06-10 00:50:00,420.0,420.0,1136,0.0,0.0,0.0,0.0,0.0,0.0,205,8,0.0,46
2019-06-10 01:00:00,0.0,0.0,1085,0.0,0.0,0.0,0.0,0.0,0.0,201,8,0.0,245
2019-06-10 01:10:00,3.0,3.0,1134,0.0,0.0,0.0,0.0,1.0,0.0,204,8,0.0,285
2019-06-10 01:20:00,0.0,0.0,1103,0.0,0.0,0.0,0.0,0.0,0.0,196,8,0.0,42
2019-06-10 01:30:00,0.0,0.0,1179,0.0,0.0,0.0,0.0,80.0,0.0,207,8,0.0,63
2019-06-10 01:40:00,0.0,0.0,1149,0.0,0.0,0.0,0.0,0.0,0.0,210,8,0.0,24
2019-06-10 01:50:00,0.0,0.0,1106,0.0,0.0,0.0,0.0,0.0,0.0,205,6,0.0,47
2019-06-10 02:00:00,0.0,0.0,1104,0.0,0.0,0.0,0.0,0.0,0.0,203,8,0.0,22
2019-06-10 02:10:00,3.0,3.0,1146,0.0,0.0,0.0,0.0,1.0,0.0,206,8,0.0,27
2019-06-10 02:20:00,0.0,0.0,1104,0.0,0.0,0.0,0.0,0.0,0.0,203,8,0.0,47
2019-06-10 02:30:00,0.0,0.0,1100,0.0,0.0,0.0,0.0,0.0,0.0,198,8,0.0,60
2019-06-10 02:40:00,0.0,0.0,1094,0.0,0.0,0.0,0.0,924.0,0.0,197,8,0.0,26
2019-06-10 02:50:00,0.0,0.0,1096,0.0,0.0,0.0,0.0,0.0,0.0,199,8,0.0,44
2019-06-10 03:00:00,0.0,0.0,1086,0.0,0.0,0.0,0.0,0.0,0.0,199,8,0.0,25
2019-06-10 03:10:00,3.0,3.0,1078,0.0,0.0,0.0,0.0,1.0,0.0,198,8,0.0,20
2019-06-10 03:20:00,0.0,0.0,1130,0.0,0.0,0.0,0.0,0.0,0.0,199,8,0.0,46
2019-06-10 03:30:00,0.0,0.0,1103,0.0,0.0,0.0,0.0,25.0,0.0,198,9,0.0,59
2019-06-10 03:40:00,0.0,0.0,1104,0.0,0.0,0.0,0.0,53.0,0.0,204,8,0.0,21
2019-06-10 03:50:00,0.0,0.0,1104,0.0,0.0,0.0,0.0,0.0,0.0,198,8,0.0,44
