indexs,10.24.49.154,10.24.49.154,10.24.64.118,10.39.11.174,10.39.18.40,10.49.137.199,10.49.137.87,10.49.223.163,10.49.223.194,10.49.253.35,10.49.253.53,10.49.36.147,10.49.81.218
2019-06-08 00:10:00,3.0,3.0,1132,0.0,0.0,0,0,1.0,0.0,229,4,0,12
2019-06-08 00:20:00,0.0,0.0,1157,0.0,0.0,0,0,0.0,0.0,217,4,0,12
2019-06-08 00:30:00,0.0,0.0,1141,0.0,0.0,0,0,0.0,0.0,232,5,0,38
2019-06-08 00:40:00,0.0,0.0,1149,0.0,0.0,0,0,0.0,0.0,227,5,0,12
2019-06-08 00:50:00,34.0,34.0,1139,0.0,0.0,0,0,63.0,0.0,231,4,0,56
2019-06-08 01:00:00,0.0,0.0,1143,0.0,0.0,0,0,12.0,0.0,230,4,0,263
2019-06-08 01:10:00,3.0,3.0,1148,0.0,0.0,0,0,1.0,0.0,227,4,0,286
2019-06-08 01:20:00,0.0,0.0,1158,0.0,0.0,0,0,0.0,0.0,235,5,0,18
2019-06-08 01:30:00,0.0,0.0,1149,0.0,0.0,0,0,0.0,0.0,221,4,0,42
2019-06-08 01:40:00,0.0,0.0,1153,0.0,0.0,0,0,0.0,0.0,225,4,0,10
2019-06-08 01:50:00,0.0,0.0,1129,0.0,0.0,0,0,0.0,0.0,226,4,0,59
2019-06-08 02:00:00,0.0,0.0,1127,0.0,0.0,0,0,0.0,0.0,231,4,0,11
2019-06-08 02:10:00,3.0,3.0,1145,0.0,0.0,0,0,1.0,0.0,231,4,0,9
2019-06-08 02:20:00,0.0,0.0,1151,0.0,0.0,0,0,0.0,0.0,222,4,0,13
2019-06-08 02:30:00,0.0,0.0,1148,0.0,0.0,0,0,0.0,0.0,222,4,0,46
2019-06-08 02:40:00,0.0,0.0,1152,0.0,0.0,0,0,0.0,0.0,221,4,0,10
2019-06-08 02:50:00,0.0,0.0,1147,0.0,0.0,0,0,68.0,0.0,217,4,0,12
2019-06-08 03:00:00,0.0,0.0,1132,0.0,0.0,0,0,13.0,0.0,219,4,0,60
2019-06-08 03:10:00,4.0,4.0,1112,0.0,0.0,0,0,1.0,0.0,219,4,0,14
2019-06-08 03:20:00,0.0,0.0,1155,0.0,0.0,0,0,0.0,0.0,218,5,0,12
2019-06-08 03:30:00,0.0,0.0,1146,0.0,0.0,0,0,0.0,0.0,224,5,0,39
2019-06-08 03:40:00,0.0,0.0,1148,0.0,0.0,0,0,0.0,0.0,225,4,0,15
2019-06-08 03:50:00,0.0,0.0,1145,0.0,0.0,0,0,0.0,0.0,222,4,0,12
2019-06-08 04:00:00,0.0,0.0,1143,0.0,0.0,0,0,1.0,0.0,222,4,0,66
2019-06-08 04:10:00,3.0,3.0,1139,0.0,0.0,0,0,4396.0,0.0,220,4,0,11
2019-06-08 04:20:00,0.0,0.0,1141,0.0,0.0,0,0,505.0,0.0,222,4,0,10
2019-06-08 04:30:00,0.0,0.0,1109,0.0,0.0,0,0,50.0,0.0,221,4,0,46
2019-06-08 04:40:00,0.0,0.0,1139,0.0,0.0,0,0,0.0,0.0,224,4,0,12
2019-06-08 04:50:00,0.0,0.0,1114,0.0,0.0,0,0,0.0,0.0,220,5,0,11
2019-06-08 05:00:00,0.0,0.0,1153,0.0,0.0,0,0,77.0,0.0,223,4,0,67
2019-06-08 05:10:00,3.0,3.0,1121,0.0,0.0,0,0,1.0,0.0,223,5,0,14
2019-06-08 05:20:00,311.0,311.0,1148,0.0,0.0,0,0,0.0,0.0,220,5,0,11
2019-06-08 05:30:00,101.0,101.0,1148,0.0,0.0,0,0,0.0,0.0,227,5,0,42
2019-06-08 05:40:00,0.0,0.0,1147,0.0,0.0,0,0,0.0,0.0,223,4,0,11
2019-06-08 05:50:00,139.0,139.0,1143,0.0,0.0,0,0,0.0,0.0,215,5,0,7
2019-06-08 06:00:00,72.0,72.0,1120,0.0,0.0,0,0,0.0,0.0,225,4,0,66
2019-06-08 06:10:00,3.0,3.0,1139,0.0,0.0,0,0,1.0,0.0,222,4,0,12
2019-06-08 06:20:00,0.0,0.0,1148,0.0,0.0,0,0,0.0,0.0,228,4,0,11
2019-06-08 06:30:00,0.0,0.0,1381,0.0,0.0,0,0,0.0,0.0,223,4,0,38
2019-06-08 06:40:00,0.0,0.0,1150,0.0,0.0,0,0,706.0,0.0,224,4,0,17
2019-06-08 06:50:00,397.0,397.0,1187,0.0,0.0,0,0,665.0,0.0,230,4,0,11
2019-06-08 07:00:00,1.0,1.0,1175,0.0,0.0,0,0,314.0,0.0,228,5,0,67
2019-06-08 07:10:00,3.0,3.0,1161,0.0,0.0,0,0,18.0,0.0,231,4,0,11
2019-06-08 07:20:00,0.0,0.0,1137,0.0,0.0,0,0,949.0,0.0,229,4,0,13
2019-06-08 07:30:00,0.0,0.0,1146,0.0,0.0,0,0,71.0,0.0,222,4,0,47
2019-06-08 07:40:00,0.0,0.0,1142,0.0,0.0,0,0,0.0,0.0,226,4,0,8
2019-06-08 07:50:00,0.0,0.0,1129,0.0,0.0,0,0,0.0,0.0,232,4,0,11
