indexs,10.24.49.154,10.24.49.154,10.24.64.118,10.39.11.174,10.39.18.40,10.49.137.199,10.49.137.87,10.49.223.163,10.49.223.194,10.49.253.35,10.49.253.53,10.49.36.147,10.49.81.218
2019-06-13 00:10:00,3.0,3.0,1039.0,0.0,0.0,0.0,0.0,1.0,0.0,406,23,0.0,32
2019-06-13 00:20:00,1.0,1.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,407,23,0.0,70
2019-06-13 00:30:00,0.0,0.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,403,24,0.0,65
2019-06-13 00:40:00,0.0,0.0,1048.0,0.0,0.0,0.0,0.0,0.0,0.0,404,24,0.0,167
2019-06-13 00:50:00,0.0,0.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,402,24,0.0,66
2019-06-13 01:00:00,0.0,0.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,405,24,0.0,107
2019-06-13 01:10:00,3.0,3.0,1044.0,0.0,0.0,0.0,0.0,1.0,0.0,406,24,0.0,44
2019-06-13 01:20:00,0.0,0.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,403,24,0.0,81
2019-06-13 01:30:00,0.0,0.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,400,24,0.0,67
2019-06-13 01:40:00,0.0,0.0,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,399,23,0.0,165
2019-06-13 01:50:00,32.0,32.0,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,405,24,0.0,832
2019-06-13 02:00:00,0.0,0.0,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,403,24,0.0,865
2019-06-13 02:10:00,3.0,3.0,1047.0,0.0,0.0,0.0,0.0,1.0,0.0,400,24,0.0,100
2019-06-13 02:20:00,0.0,0.0,1079.0,0.0,0.0,0.0,0.0,0.0,0.0,398,24,0.0,328
2019-06-13 02:30:00,0.0,0.0,1097.0,0.0,0.0,0.0,0.0,0.0,0.0,393,24,0.0,48
2019-06-13 02:40:00,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,405,24,0.0,188
2019-06-13 02:50:00,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,395,24,0.0,76
2019-06-13 03:00:00,264.0,264.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,393,24,0.0,37
2019-06-13 03:10:00,3.0,3.0,1092.0,0.0,0.0,0.0,0.0,1.0,0.0,392,20,0.0,92
2019-06-13 03:20:00,0.0,0.0,1087.0,0.0,0.0,0.0,0.0,0.0,0.0,388,20,0.0,69
2019-06-13 03:30:00,0.0,0.0,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,387,20,0.0,53
2019-06-13 03:40:00,0.0,0.0,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,384,20,0.0,136
2019-06-13 03:50:00,0.0,0.0,1065.0,0.0,0.0,0.0,0.0,0.0,0.0,381,20,0.0,67
2019-06-13 04:00:00,0.0,0.0,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,381,19,0.0,38
2019-06-13 04:10:00,3.0,3.0,1062.0,0.0,0.0,0.0,0.0,1.0,0.0,383,20,0.0,100
2019-06-13 04:20:00,0.0,0.0,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,384,20,0.0,75
2019-06-13 04:30:00,0.0,0.0,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,384,22,0.0,41
2019-06-13 04:40:00,0.0,0.0,1065.0,0.0,0.0,0.0,0.0,0.0,0.0,387,18,0.0,114
