record_time,uplink_length,downlink_length
2019-06-05 00:00:00,20,20
2019-06-05 00:05:00,20,20
2019-06-05 00:10:00,20,20
2019-06-05 00:15:00,18,18
2019-06-05 00:20:00,20,20
2019-06-05 00:25:00,20,20
2019-06-05 00:30:00,19,19
2019-06-05 00:35:00,20,20
2019-06-05 00:40:00,19,19
2019-06-05 00:45:00,19,19
2019-06-05 00:50:00,19,19
2019-06-05 00:55:00,20,20
2019-06-05 01:00:00,20,20
2019-06-05 01:05:00,19,19
2019-06-05 01:10:00,20,20
2019-06-05 01:15:00,20,20
2019-06-05 01:20:00,20,20
2019-06-05 01:25:00,19,19
2019-06-05 01:30:00,20,20
2019-06-05 01:35:00,20,20
2019-06-05 01:40:00,20,20
2019-06-05 01:45:00,20,20
2019-06-05 01:50:00,20,20
2019-06-05 01:55:00,20,20
2019-06-05 02:00:00,20,20
2019-06-05 02:05:00,20,20
2019-06-05 02:10:00,20,20
2019-06-05 02:15:00,20,20
2019-06-05 02:20:00,20,20
2019-06-05 02:25:00,20,20
2019-06-05 02:30:00,20,20
2019-06-05 02:35:00,20,20
2019-06-05 02:40:00,20,20
2019-06-05 02:45:00,20,20
2019-06-05 02:50:00,19,19
2019-06-05 02:55:00,20,20
2019-06-05 03:00:00,20,20
2019-06-05 03:05:00,20,20
2019-06-05 03:10:00,20,20
2019-06-05 03:15:00,20,20
2019-06-05 03:20:00,20,20
2019-06-05 03:25:00,20,20
2019-06-05 03:30:00,20,20
2019-06-05 03:35:00,19,19
2019-06-05 03:40:00,20,20
2019-06-05 03:45:00,20,20
2019-06-05 03:50:00,20,20
2019-06-05 03:55:00,20,20
2019-06-05 04:00:00,19,19
2019-06-05 04:05:00,20,20
2019-06-05 04:10:00,19,19
2019-06-05 04:15:00,20,20
2019-06-05 04:20:00,20,20
2019-06-05 04:25:00,20,20
2019-06-05 04:30:00,20,20
2019-06-05 04:35:00,18,18
2019-06-05 04:40:00,20,20
2019-06-05 04:45:00,20,20
2019-06-05 04:50:00,20,20
2019-06-05 04:55:00,20,20
2019-06-05 05:00:00,20,20
2019-06-05 05:05:00,20,20
2019-06-05 05:10:00,19,19
2019-06-05 05:15:00,20,20
2019-06-05 05:20:00,20,20
2019-06-05 05:25:00,19,19
2019-06-05 05:30:00,20,20
2019-06-05 05:35:00,214,214
2019-06-05 05:40:00,2826,2826
2019-06-05 05:45:00,20,20
2019-06-05 05:50:00,20,20
2019-06-05 05:55:00,20,20
2019-06-05 06:00:00,20,20
2019-06-05 06:05:00,20,20
2019-06-05 06:10:00,19,19
2019-06-05 06:15:00,20,20
2019-06-05 06:20:00,20,20
2019-06-05 06:25:00,18,18
2019-06-05 06:30:00,19,19
2019-06-05 06:35:00,380,380
2019-06-05 06:40:00,191,191
2019-06-05 06:45:00,20,20
2019-06-05 06:50:00,21,21
2019-06-05 06:55:00,20,20
2019-06-05 07:00:00,20,20
2019-06-05 07:05:00,21,21
2019-06-05 07:10:00,20,20
2019-06-05 07:15:00,20,20
2019-06-05 07:20:00,20,20
2019-06-05 07:25:00,20,20
2019-06-05 07:30:00,20,20
2019-06-05 07:35:00,20,20
2019-06-05 07:40:00,20,20
2019-06-05 07:45:00,20,20
2019-06-05 07:50:00,20,20
2019-06-05 07:55:00,262,262
2019-06-05 08:00:00,20,20
2019-06-05 08:05:00,20,20
2019-06-05 08:10:00,20,20
2019-06-05 08:15:00,20,20
2019-06-05 08:20:00,20,20
2019-06-05 08:25:00,20,20
2019-06-05 08:30:00,20,20
2019-06-05 08:35:00,20,20
2019-06-05 08:40:00,19,19
2019-06-05 08:45:00,20,20
2019-06-05 08:50:00,22,22
2019-06-05 08:55:00,20,20
2019-06-05 09:00:00,21,21
2019-06-05 09:05:00,21,21
2019-06-05 09:10:00,74,74
2019-06-05 09:15:00,19,19
2019-06-05 09:20:00,43,43
2019-06-05 09:25:00,20,20
2019-06-05 09:30:00,20,20
2019-06-05 09:35:00,20,20
2019-06-05 09:40:00,20,20
2019-06-05 09:45:00,35,35
2019-06-05 09:50:00,92,92
2019-06-05 09:55:00,283,283
2019-06-05 10:00:00,115,115
2019-06-05 10:05:00,237,237
2019-06-05 10:10:00,307,307
2019-06-05 10:15:00,244,244
2019-06-05 10:20:00,437,437
2019-06-05 10:25:00,5005,5005
2019-06-05 10:30:00,3025,3025
2019-06-05 10:35:00,46,46
2019-06-05 10:40:00,63,63
2019-06-05 10:45:00,83,83
2019-06-05 10:50:00,31,31
2019-06-05 10:55:00,99,99
2019-06-05 11:00:00,45,45
2019-06-05 11:05:00,44,44
2019-06-05 11:10:00,101,101
2019-06-05 11:15:00,57,57
2019-06-05 11:20:00,108,108
2019-06-05 11:25:00,86,86
2019-06-05 11:30:00,49,49
2019-06-05 11:35:00,134,134
2019-06-05 11:40:00,71,71
2019-06-05 11:45:00,23,23
2019-06-05 11:50:00,49,49
2019-06-05 11:55:00,56,56
2019-06-05 12:00:00,91,91
2019-06-05 12:05:00,146,146
2019-06-05 12:10:00,20,20
2019-06-05 12:15:00,19,19
2019-06-05 12:20:00,17,17
2019-06-05 12:25:00,20,20
2019-06-05 12:30:00,19,19
2019-06-05 12:35:00,19,19
2019-06-05 12:40:00,20,20
2019-06-05 12:45:00,18,18
2019-06-05 12:50:00,20,20
2019-06-05 12:55:00,20,20
2019-06-05 13:00:00,3749,3749
2019-06-05 13:05:00,6112,6112
2019-06-05 13:10:00,7250,7250
2019-06-05 13:15:00,8337,8337
2019-06-05 13:20:00,8745,8745
2019-06-05 13:25:00,7020,7020
2019-06-05 13:30:00,73,73
2019-06-05 13:35:00,18,18
2019-06-05 13:40:00,54,54
2019-06-05 13:45:00,18,18
2019-06-05 13:50:00,195,195
2019-06-05 13:55:00,473,473
2019-06-05 14:00:00,49,49
2019-06-05 14:05:00,174,174
2019-06-05 14:10:00,50,50
2019-06-05 14:15:00,100,100
2019-06-05 14:20:00,23,23
2019-06-05 14:25:00,214,214
2019-06-05 14:30:00,83,83
2019-06-05 14:35:00,23,23
2019-06-05 14:40:00,34,34
2019-06-05 14:45:00,124,124
2019-06-05 14:50:00,33,33
2019-06-05 14:55:00,39,39
2019-06-05 15:00:00,58,58
2019-06-05 15:05:00,83,83
2019-06-05 15:10:00,107,107
2019-06-05 15:15:00,35,35
2019-06-05 15:20:00,1110,1110
2019-06-05 15:25:00,608,608
2019-06-05 15:30:00,51,51
2019-06-05 15:35:00,31,31
2019-06-05 15:40:00,94,94
2019-06-05 15:45:00,104,104
2019-06-05 15:50:00,139,139
2019-06-05 15:55:00,48,48
2019-06-05 16:00:00,145,145
2019-06-05 16:05:00,23,23
2019-06-05 16:10:00,20,20
2019-06-05 16:15:00,42,42
2019-06-05 16:20:00,58,58
